reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
159.224.182.216,4,-3,DNS Server: 216.182.224.159.triolan.net,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
193.93.12.74,4,29,nuph.edu.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
159.224.181.130,4,4,Ookla Speedtest Server 10867: poltava.speedtest.triolan.com.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
146.120.199.7,4,3,Ookla Speedtest Server 25121: speedtest.fiberlink.net.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Hadiach
193.93.12.190,4,-1244,Ookla Speedtest Server 32144: speedtest.solver.net.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
193.32.70.133,4,-17,Ookla Speedtest Server 54287: speedtest.euro-net.com.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Obolon'
195.189.60.182,4,0,Ookla Speedtest Server 57443: speedtest.vizit-net.com,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Kremenchug
91.246.128.18,4,-3,Ookla Speedtest Server 71717: speedtest.format24.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
109.201.246.197,4,103137,pdau.edu.ua,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
195.60.70.5,4,-3,VAK Ltd.,UA,Europe,Eastern Europe,Ukraine,Poltava Oblast,,Poltava
