reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
31.202.133.86,4,-6,dduvs.edu.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.0.206,4,1921,DNS Server: host-5-58-0-206.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.0.222,4,1808,DNS Server: host-5-58-0-222.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.10.13,4,258,DNS Server: host-5-58-10-13.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.101.89,4,7004,DNS Server: host-5-58-101-89.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.102.238,4,4402,DNS Server: host-5-58-102-238.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.108.151,4,832,DNS Server: host-5-58-108-151.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.11.85,4,-3,DNS Server: host-5-58-11-85.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.110.197,4,2677,DNS Server: host-5-58-110-197.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.114.238,4,-2145698221,DNS Server: host-5-58-114-238.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.126.220,4,2665,DNS Server: host-5-58-126-220.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.128.57,4,2421,DNS Server: host-5-58-128-57.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.13.238,4,-1302,DNS Server: host-5-58-13-238.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.13.41,4,1024,DNS Server: host-5-58-13-41.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.131.22,4,1477,DNS Server: host-5-58-131-22.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.132.202,4,-8,DNS Server: host-5-58-132-202.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.134.76,4,346,DNS Server: host-5-58-134-76.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.135.20,4,504,DNS Server: host-5-58-135-20.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.135.228,4,1857,DNS Server: host-5-58-135-228.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.137.224,4,76,DNS Server: host-5-58-137-224.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.137.227,4,1254,DNS Server: host-5-58-137-227.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.137.91,4,-90,DNS Server: host-5-58-137-91.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.138.120,4,-420747682,DNS Server: host-5-58-138-120.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.138.176,4,31,DNS Server: host-5-58-138-176.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.138.180,4,44608,DNS Server: host-5-58-138-180.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.138.22,4,835,DNS Server: host-5-58-138-22.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.138.47,4,500,DNS Server: host-5-58-138-47.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.139.53,4,5,DNS Server: host-5-58-139-53.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.139.7,4,-2,DNS Server: host-5-58-139-7.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.140.163,4,-4,DNS Server: host-5-58-140-163.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.152.243,4,181,DNS Server: host-5-58-152-243.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.154.218,4,5144,DNS Server: host-5-58-154-218.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.16.231,4,9488,DNS Server: host-5-58-16-231.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.17.220,4,-147477320,DNS Server: host-5-58-17-220.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.17.237,4,5,DNS Server: host-5-58-17-237.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.17.43,4,3311,DNS Server: host-5-58-17-43.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.177.74,4,86255,DNS Server: host-5-58-177-74.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
5.58.178.99,4,57503,DNS Server: host-5-58-178-99.bitternet.ua,UA,Europe,Eastern Europe,Ukraine,Ternopil Oblast,,Ternopil
