reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
77.111.241.99,4,-4,020tweewielers.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.215.5,4,7,10000-mail-order-brides.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.213,4,4,112handyman.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.68,4,13,123hjemmeside.dk,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.118,4,-3,123hjemmeside.no,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.105,4,-4,123siteweb.fr,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.106,4,4,123siteweb.fr,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.76,4,-2,123website.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.54,4,-2,2484.de,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
91.184.31.105,4,4,24high.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.215.136,4,10,aalep.eu,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.160,4,14,academia.dk,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.116,4,47,activehouse.info,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.94,4,-4,advokatsthlm.se,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
91.184.8.2,4,63,akinci.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.32,4,-12,allesmuenster.de,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.150,4,10,alternate-tools.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
185.95.24.223,4,15,amayzine.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
82.221.100.77,4,100,antifa.cz,IS,Europe,Northern Europe,Iceland,Capital Region,Reykjavíkurborg,Reykjavik
91.184.0.25,4,8,aopen.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
91.184.0.24,4,10,applesnail.net,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.142,4,14,arcadebelgium.be,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.200,4,4,artisticrender.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.215.145,4,14,ascii-code.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.113,4,29,ascii-code.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.241.106,4,12,asianmarket.one,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
46.30.213.147,4,-2,aukevisser.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.104,4,48,auraskypool.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.240.230,4,26,aviationregionalequebec.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.241.69,4,-8,aware-online.com,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
77.111.241.96,4,1,awesomepest.ca,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
91.184.0.63,4,12,baasdeband.nl,DK,Europe,Northern Europe,Denmark,Capital Region,,Copenhagen
