reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.86.211.137,4,4,bcforwards.ee,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.138,4,16,bollyn.com,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.143,4,30,koeru.eu,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.141,4,8,okupatsioon.ee,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.139,4,22,photobuildings.com,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.133,4,39,satakuntaenduro.com,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.135,4,13,sirp.ee,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.134,4,14,sotuland.com,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.130,4,16,surina.net,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
185.86.211.131,4,2,tarsiman.ee,EE,Europe,Northern Europe,Estonia,Pärnumaa,Pärnu linn,Pärnu
