reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
35.228.59.2,4,18,aik.se,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.74.97,4,12,ainola.fi,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.202.253,4,4,akateeminen.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.111.12,4,14,brainworks.pl,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.62.212,4,44,eldstickan.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.65.39,4,3,etiskhandel.no,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.57.67,4,5,flamman.se,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
34.88.230.205,4,6,gehlpeople.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
34.88.102.190,4,3,hblad.no,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.254.252,4,28,heliospectra.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.24.20,4,10,insly.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.202.252,4,69,joutsa.fi,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.54.117,4,4,khio.no,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.119.41,4,5,langholmen.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
34.88.85.46,4,2,nmcu.org,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.201.97,4,3,nyatider.nu,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.217.9,4,3,sesamcontainer.se,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
34.88.146.134,4,31,sibelius.fi,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.110.88,4,5,stadion.fi,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.127.14,4,6,talkyard.io,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.224.94,4,15,vismasignforms.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.144.13,4,3,volvomuseum.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.47.141,4,27,weareepicenter.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.124.46,4,57,xn--kksbloggaren-4ib.se,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
35.228.62.219,4,2,zoinkgames.com,FI,Europe,Northern Europe,Finland,South Karelia Region,,Lappeenranta
