reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
92.62.140.198,4,-3,1551.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
162.254.86.34,4,0,acldominator.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius District Municipality,
153.92.1.185,4,-57,aeahumanrightsexposur.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.62.141.5,4,-7,asbis.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.61.33.162,4,10,auto.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
212.237.232.147,4,1,automotosupirkimas.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.61.37.73,4,-63,baldeksita.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.62.135.228,4,-35,balt.net,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
158.129.159.145,4,-32,bebras.org,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
94.176.237.190,4,-12,blkdem.ru,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
94.176.233.228,4,34,blocal-travel.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
212.24.107.67,4,7,bramaby.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
45.93.137.38,4,-1,brusvyana.com.ua,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
141.98.11.12,4,2445284,ca-pharm.net,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.242.187.150,4,-13,cabar.asia,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.62.140.27,4,-3,canyon.eu,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
5.20.0.60,4,-3,cgates.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
92.61.37.130,4,-5,ciurlionis.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
93.127.186.167,4,8,clipercash.com,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
176.223.142.241,4,0,dfwk.ru,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
81.7.104.226,4,17301,DNS Server: 81-7-104-226.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
81.7.88.177,4,-25,DNS Server: 81-7-88-177.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
81.7.89.171,4,41333,DNS Server: 81-7-89-171.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
82.135.130.151,4,87800,DNS Server: 82-135-130-151.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
82.135.137.106,4,220087,DNS Server: 82-135-137-106.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
82.135.200.100,4,214796,DNS Server: 82-135-200-100.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
82.135.203.178,4,4236,DNS Server: 82-135-203-178.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
82.135.215.108,4,116509,DNS Server: 82-135-215-108.static.zebra.lt,LT,Europe,Northern Europe,Lithuania,Vilnius,Vilnius City Municipality,Vilnius
