reflector_ip,ip_version,description,country_code,country_name,region,sub_region
159.253.19.190,4,192-168-1-1-admin-admin.ru,EE,Estonia,Europe,Northern Europe
5.45.122.60,4,2english.com,EE,Estonia,Europe,Northern Europe
5.101.114.113,4,2wogoods.com,EE,Estonia,Europe,Northern Europe
5.101.180.213,4,33korovy.in.ua,EE,Estonia,Europe,Northern Europe
46.36.222.55,4,4vision.ru,EE,Estonia,Europe,Northern Europe
5.45.122.100,4,594205.ru,EE,Estonia,Europe,Northern Europe
5.101.114.158,4,5motkov.ru,EE,Estonia,Europe,Northern Europe
46.36.222.67,4,7kaminov.ru,EE,Estonia,Europe,Northern Europe
5.101.113.8,4,abelarus.by,EE,Estonia,Europe,Northern Europe
149.5.209.194,4,aim.uz,EE,Estonia,Europe,Northern Europe
46.36.221.208,4,airgun.org.ru,EE,Estonia,Europe,Northern Europe
46.36.219.204,4,al-fas.ru,EE,Estonia,Europe,Northern Europe
5.45.120.21,4,alaktu.ru,EE,Estonia,Europe,Northern Europe
5.45.120.4,4,alimente-info.ru,EE,Estonia,Europe,Northern Europe
5.101.119.218,4,aliup.info,EE,Estonia,Europe,Northern Europe
109.94.209.53,4,alsamarkand.com,EE,Estonia,Europe,Northern Europe
212.7.7.38,4,alvadi.ru,EE,Estonia,Europe,Northern Europe
5.101.180.37,4,amssoft.ru,EE,Estonia,Europe,Northern Europe
5.101.113.22,4,amulety-talismany.ru,EE,Estonia,Europe,Northern Europe
107.181.183.252,4,andersonuniversity.edu,EE,Estonia,Europe,Northern Europe
185.155.96.179,4,anime-free.biz,EE,Estonia,Europe,Northern Europe
159.253.20.216,4,ankolpakov.ru,EE,Estonia,Europe,Northern Europe
185.4.75.135,4,anvanto.com,EE,Estonia,Europe,Northern Europe
185.154.220.186,4,apollo.lv,EE,Estonia,Europe,Northern Europe
46.36.221.55,4,armonline.pp.ua,EE,Estonia,Europe,Northern Europe
159.253.22.221,4,astrosfera.ru,EE,Estonia,Europe,Northern Europe
212.7.11.243,4,audiohobby.eu,EE,Estonia,Europe,Northern Europe
5.101.112.6,4,autoprospect.ru,EE,Estonia,Europe,Northern Europe
159.253.20.183,4,avi.kz,EE,Estonia,Europe,Northern Europe
5.101.115.97,4,ayzdorov.ru,EE,Estonia,Europe,Northern Europe
5.45.112.89,4,bania-msk.ru,EE,Estonia,Europe,Northern Europe
109.94.209.55,4,bassin.ru,EE,Estonia,Europe,Northern Europe
159.253.20.122,4,bballworld.com,EE,Estonia,Europe,Northern Europe
5.45.112.204,4,besttoday.ru,EE,Estonia,Europe,Northern Europe
5.101.113.70,4,beze.com.ua,EE,Estonia,Europe,Northern Europe
5.101.180.55,4,bht.az,EE,Estonia,Europe,Northern Europe
5.101.117.61,4,bigbuilding.com.ua,EE,Estonia,Europe,Northern Europe
159.253.22.25,4,biliard-expert.ru,EE,Estonia,Europe,Northern Europe
5.45.125.48,4,binov.net,EE,Estonia,Europe,Northern Europe
159.253.23.85,4,blizko.pro,EE,Estonia,Europe,Northern Europe
46.36.219.233,4,bluesmobil.ru,EE,Estonia,Europe,Northern Europe
185.158.179.251,4,bonfirethemes.com,EE,Estonia,Europe,Northern Europe
5.101.113.42,4,bravo-nasos.ru,EE,Estonia,Europe,Northern Europe
46.36.216.247,4,byyd.me,EE,Estonia,Europe,Northern Europe
194.126.119.20,4,calkoo.com,EE,Estonia,Europe,Northern Europe
159.253.23.72,4,careerix.ru,EE,Estonia,Europe,Northern Europe
5.45.112.114,4,cenamashin.ru,EE,Estonia,Europe,Northern Europe
212.7.8.157,4,charlot.ee,EE,Estonia,Europe,Northern Europe
5.45.112.30,4,chas.cv.ua,EE,Estonia,Europe,Northern Europe
5.101.122.97,4,chinovniki.info,EE,Estonia,Europe,Northern Europe
159.253.18.123,4,chop.moscow,EE,Estonia,Europe,Northern Europe
109.94.209.218,4,city.travel,EE,Estonia,Europe,Northern Europe
45.129.96.44,4,credo.press,EE,Estonia,Europe,Northern Europe
185.20.100.195,4,delfi.ee,EE,Estonia,Europe,Northern Europe
185.20.100.192,4,delfi.ee,EE,Estonia,Europe,Northern Europe
185.20.100.193,4,delfi.ee,EE,Estonia,Europe,Northern Europe
185.20.100.194,4,delfi.ee,EE,Estonia,Europe,Northern Europe
159.253.22.151,4,delokuhni.ru,EE,Estonia,Europe,Northern Europe
5.45.118.87,4,design-homes.ru,EE,Estonia,Europe,Northern Europe
5.45.127.165,4,deti123.ru,EE,Estonia,Europe,Northern Europe
194.126.124.184,4,digitark.ee,EE,Estonia,Europe,Northern Europe
5.45.116.38,4,dnkom.ru,EE,Estonia,Europe,Northern Europe
5.101.127.9,4,dnr24.com,EE,Estonia,Europe,Northern Europe
185.155.96.85,4,dobiraemsya.ru,EE,Estonia,Europe,Northern Europe
149.5.209.151,4,doradvokat.com.ua,EE,Estonia,Europe,Northern Europe
5.101.113.95,4,drevnijmir.ru,EE,Estonia,Europe,Northern Europe
159.253.22.73,4,dtg24.ru,EE,Estonia,Europe,Northern Europe
5.45.122.51,4,easyexpress.kg,EE,Estonia,Europe,Northern Europe
212.47.199.180,4,eestipank.ee,EE,Estonia,Europe,Northern Europe
159.253.20.110,4,ege59.ru,EE,Estonia,Europe,Northern Europe
193.40.113.42,4,eki.ee,EE,Estonia,Europe,Northern Europe
159.253.18.201,4,electrashop.ru,EE,Estonia,Europe,Northern Europe
5.101.120.216,4,enews.md,EE,Estonia,Europe,Northern Europe
5.101.179.11,4,eng4school.ru,EE,Estonia,Europe,Northern Europe
109.94.209.196,4,engmanager.ru,EE,Estonia,Europe,Northern Europe
45.129.96.140,4,eproves.com,EE,Estonia,Europe,Northern Europe
185.4.72.217,4,etoglaza.ru,EE,Estonia,Europe,Northern Europe
46.36.218.179,4,europharm.online,EE,Estonia,Europe,Northern Europe
159.253.23.250,4,ex-rate.com,EE,Estonia,Europe,Northern Europe
5.101.123.52,4,expert-clinica.ru,EE,Estonia,Europe,Northern Europe
5.101.127.202,4,expert-kachestva.ru,EE,Estonia,Europe,Northern Europe
5.45.120.91,4,fan-pvz.com,EE,Estonia,Europe,Northern Europe
46.36.221.198,4,fanfishka.ru,EE,Estonia,Europe,Northern Europe
5.101.176.194,4,fashiontrendwalk.com,EE,Estonia,Europe,Northern Europe
5.101.127.82,4,favoritecarpet.com,EE,Estonia,Europe,Northern Europe
109.94.209.30,4,financeportal.site,EE,Estonia,Europe,Northern Europe
46.36.218.84,4,finzz.ru,EE,Estonia,Europe,Northern Europe
159.253.20.195,4,fire-declaration.ru,EE,Estonia,Europe,Northern Europe
5.45.116.220,4,fitnessera.ru,EE,Estonia,Europe,Northern Europe
212.7.8.176,4,flirtic.com,EE,Estonia,Europe,Northern Europe
46.36.220.218,4,football-irkutsk.ru,EE,Estonia,Europe,Northern Europe
5.45.124.53,4,forlifts.ru,EE,Estonia,Europe,Northern Europe
185.12.236.31,4,fotki.com,EE,Estonia,Europe,Northern Europe
5.101.115.98,4,foundico.com,EE,Estonia,Europe,Northern Europe
5.45.123.64,4,free-apply.com,EE,Estonia,Europe,Northern Europe
159.253.21.190,4,free-pdf.ru,EE,Estonia,Europe,Northern Europe
5.45.116.223,4,free-software.com.ua,EE,Estonia,Europe,Northern Europe
159.253.20.164,4,free-video-editors.ru,EE,Estonia,Europe,Northern Europe
185.31.242.82,4,friatider.se,EE,Estonia,Europe,Northern Europe
185.169.68.34,4,friv.ee,EE,Estonia,Europe,Northern Europe
5.101.127.46,4,frocus.net,EE,Estonia,Europe,Northern Europe
5.45.126.217,4,fulledu.ru,EE,Estonia,Europe,Northern Europe
46.36.219.7,4,furnitur.ru,EE,Estonia,Europe,Northern Europe
217.146.72.235,4,gamesfort.net,EE,Estonia,Europe,Northern Europe
185.4.75.193,4,gardenx.ru,EE,Estonia,Europe,Northern Europe
5.45.114.23,4,gdeklop.ru,EE,Estonia,Europe,Northern Europe
5.45.116.106,4,geeker.ru,EE,Estonia,Europe,Northern Europe
159.253.20.218,4,genuspeha.ru,EE,Estonia,Europe,Northern Europe
185.4.74.51,4,geo-instrument.ru,EE,Estonia,Europe,Northern Europe
217.146.72.226,4,glens.com,EE,Estonia,Europe,Northern Europe
159.253.23.86,4,glicin.online,EE,Estonia,Europe,Northern Europe
5.101.113.82,4,global-weather.ru,EE,Estonia,Europe,Northern Europe
185.4.73.30,4,glogist.ru,EE,Estonia,Europe,Northern Europe
5.101.124.52,4,goal.az,EE,Estonia,Europe,Northern Europe
5.101.123.172,4,gotango.ru,EE,Estonia,Europe,Northern Europe
5.45.122.39,4,gov-zakupki.ru,EE,Estonia,Europe,Northern Europe
5.45.127.217,4,goxp.ru,EE,Estonia,Europe,Northern Europe
176.118.167.113,4,gracetime.ru,EE,Estonia,Europe,Northern Europe
5.45.116.233,4,graphing.ru,EE,Estonia,Europe,Northern Europe
5.45.127.162,4,gravitsapa.info,EE,Estonia,Europe,Northern Europe
5.45.126.97,4,greatuse.ru,EE,Estonia,Europe,Northern Europe
5.101.181.88,4,growmama.ru,EE,Estonia,Europe,Northern Europe
5.45.119.187,4,guitarlesson.ru,EE,Estonia,Europe,Northern Europe
185.246.187.114,4,haatvirossa.ee,EE,Estonia,Europe,Northern Europe
212.47.220.131,4,harjuelu.ee,EE,Estonia,Europe,Northern Europe
109.94.209.123,4,hasanboy.uz,EE,Estonia,Europe,Northern Europe
5.45.117.179,4,healthinlife.ru,EE,Estonia,Europe,Northern Europe
