reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
159.148.27.60,4,13,0o.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
85.31.98.3,4,979,adlinefor.com,LV,Europe,Northern Europe,Latvia,,,
185.86.148.45,4,30,allcharts.org,LV,Europe,Northern Europe,Latvia,,,
83.223.150.174,4,48,arterritory.com,LV,Europe,Northern Europe,Latvia,,,
31.128.32.203,4,13,cashboom.ru,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
89.111.61.15,4,-22124871,cciworld.com,LV,Europe,Northern Europe,Latvia,,,
91.142.6.115,4,-16730,celotajs.lv,LV,Europe,Northern Europe,Latvia,,,
94.140.122.3,4,4,cesis.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
89.111.61.25,4,3,coral-club.com,LV,Europe,Northern Europe,Latvia,,,
159.148.117.53,4,-1,csb.gov.lv,LV,Europe,Northern Europe,Latvia,,,
91.203.68.162,4,11,d-fakti.lv,LV,Europe,Northern Europe,Latvia,,,
84.237.232.168,4,13,daba.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
195.130.205.150,4,6,ddc-klimat-sl.lv,LV,Europe,Northern Europe,Latvia,,,
109.205.121.108,4,10,DNS Server: 109-205-121-108.unistars.lv,LV,Europe,Northern Europe,Latvia,,,
80.250.56.119,4,19,DNS Server: 80.250.56.119.static.nano.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
91.203.70.201,4,123058,DNS Server: 91.203.70.201.firsthost.lv,LV,Europe,Northern Europe,Latvia,,,
91.203.70.35,4,14,DNS Server: 91.203.70.35.static.nano.lv,LV,Europe,Northern Europe,Latvia,,,
83.99.190.221,4,-1074389194,DNS Server: balticom-190-221.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
77.93.22.17,4,6790066,DNS Server: balticom-22-17.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
83.99.220.7,4,335405,DNS Server: balticom-220-7.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
83.99.225.137,4,81,DNS Server: balticom-225-137.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
83.99.231.2,4,-357171289,DNS Server: balticom-231-2.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
83.99.252.220,4,6427,DNS Server: balticom-252-220.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
83.99.254.232,4,-216421,DNS Server: balticom-254-232.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
82.193.68.98,4,60696,DNS Server: balticom-68-98.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
82.193.93.151,4,83,DNS Server: balticom-93-151.balticom.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
92.49.17.221,4,10956,DNS Server: customer-17.221.elektrons-k.lv,LV,Europe,Northern Europe,Latvia,Liepāja,,Liepāja
92.49.6.211,4,4919988,DNS Server: customer-6.211.elektrons-k.lv,LV,Europe,Northern Europe,Latvia,Liepāja,,Liepāja
176.106.53.185,4,9,DNS Server: host-176-106-53-185.icoms.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
88.135.145.11,4,36286,DNS Server: host-88-135-145-11.icoms.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
88.135.158.11,4,162,DNS Server: host-88-135-158-11.icoms.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
88.135.158.8,4,160,DNS Server: host-88-135-158-8.icoms.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
89.254.163.155,4,-40898,DNS Server: host.ostkom.lv,LV,Europe,Northern Europe,Latvia,Liepāja,,Liepāja
85.15.210.3,4,11,DNS Server: host3.easylink.lv,LV,Europe,Northern Europe,Latvia,Madona Municipality,,Madona
92.63.86.134,4,50,DNS Server: ip86-134.mwtv.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
78.28.209.150,4,71747,DNS Server: mx.goodmeall.com,LV,Europe,Northern Europe,Latvia,Alūksne Municipality,,Alūksne
85.234.187.123,4,314,DNS Server: r123-187-234-85-broadband.btv.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
77.38.250.135,4,283,DNS Server: r135-250-38-77-broadband.btv.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
159.148.230.82,4,335,DNS Server: users.globalnet.lv,LV,Europe,Northern Europe,Latvia,,,
80.233.248.109,4,175,DNS Server: waves.postmet.com,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
213.175.74.10,4,31,draugiemgroup.com,LV,Europe,Northern Europe,Latvia,,,
159.148.94.36,4,6,drossinternets.lv,LV,Europe,Northern Europe,Latvia,Rīga,,Riga
91.105.203.29,4,-343281,ebaze.lv,LV,Europe,Northern Europe,Latvia,,,
91.203.69.236,4,8,emptylimits.com,LV,Europe,Northern Europe,Latvia,,,
31.170.22.43,4,13,entergauja.com,LV,Europe,Northern Europe,Latvia,,,
91.213.106.126,4,11,fairplayeur.com,LV,Europe,Northern Europe,Latvia,,,
91.203.69.224,4,38,fastsoft.lv,LV,Europe,Northern Europe,Latvia,,,
85.31.99.23,4,16,fevex.eu,LV,Europe,Northern Europe,Latvia,,,
89.111.16.48,4,0,firmas.lv,LV,Europe,Northern Europe,Latvia,,,
194.105.56.41,4,27,fotki.lv,LV,Europe,Northern Europe,Latvia,,,
