reflector_ip,ip_version,description,country_code,country_name,region,sub_region
93.115.28.104,4,aboutromania.com,LT,Lithuania,Europe,Northern Europe
45.84.206.148,4,aboutspacejornal.net,LT,Lithuania,Europe,Northern Europe
46.17.175.248,4,abtrotaryhouse.com,LT,Lithuania,Europe,Northern Europe
162.254.86.34,4,acldominator.com,LT,Lithuania,Europe,Northern Europe
194.135.86.106,4,addlistnew.com,LT,Lithuania,Europe,Northern Europe
45.84.204.115,4,admoove.se,LT,Lithuania,Europe,Northern Europe
153.92.1.185,4,aeahumanrightsexposur.com,LT,Lithuania,Europe,Northern Europe
79.98.25.26,4,aeromodelling.lt,LT,Lithuania,Europe,Northern Europe
45.84.207.171,4,airlines-gethuman.org,LT,Lithuania,Europe,Northern Europe
109.235.66.252,4,akvapark.lt,LT,Lithuania,Europe,Northern Europe
109.235.64.124,4,alburnus.lt,LT,Lithuania,Europe,Northern Europe
88.222.240.24,4,aliasharma.in,LT,Lithuania,Europe,Northern Europe
77.37.73.154,4,alkas.lt,LT,Lithuania,Europe,Northern Europe
88.119.162.13,4,alytausnaujienos.lt,LT,Lithuania,Europe,Northern Europe
46.17.175.32,4,andrewleigh.org,LT,Lithuania,Europe,Northern Europe
45.84.204.51,4,angelblues.co.in,LT,Lithuania,Europe,Northern Europe
88.222.245.253,4,aperitif.com,LT,Lithuania,Europe,Northern Europe
88.222.246.98,4,archiesonline.com,LT,Lithuania,Europe,Northern Europe
185.229.114.66,4,ariom.ru,LT,Lithuania,Europe,Northern Europe
64.64.124.70,4,armadilloaleworks.com,LT,Lithuania,Europe,Northern Europe
194.135.87.31,4,artistsbook.lt,LT,Lithuania,Europe,Northern Europe
88.222.247.235,4,atoallinks.com,LT,Lithuania,Europe,Northern Europe
51.255.157.201,4,audio.com.pl,LT,Lithuania,Europe,Northern Europe
188.165.29.126,4,audruvissporthorses.lt,LT,Lithuania,Europe,Northern Europe
79.98.29.27,4,augaliukas.lt,LT,Lithuania,Europe,Northern Europe
141.136.45.85,4,autobest.org,LT,Lithuania,Europe,Northern Europe
176.223.141.207,4,autohub.ng,LT,Lithuania,Europe,Northern Europe
80.209.226.19,4,autopolis.lt,LT,Lithuania,Europe,Northern Europe
185.5.52.216,4,b-a.eu,LT,Lithuania,Europe,Northern Europe
45.84.205.124,4,baeaalteeb.com,LT,Lithuania,Europe,Northern Europe
92.61.37.73,4,baldeksita.lt,LT,Lithuania,Europe,Northern Europe
194.135.87.144,4,balduformule.lt,LT,Lithuania,Europe,Northern Europe
158.129.159.145,4,bebras.org,LT,Lithuania,Europe,Northern Europe
62.77.153.100,4,beevolve.com,LT,Lithuania,Europe,Northern Europe
88.222.241.87,4,biharhelp.in,LT,Lithuania,Europe,Northern Europe
5.135.106.125,4,bizouk.com,LT,Lithuania,Europe,Northern Europe
88.223.93.33,4,boxie24.com,LT,Lithuania,Europe,Northern Europe
212.24.107.67,4,bramaby.com,LT,Lithuania,Europe,Northern Europe
45.93.137.38,4,brusvyana.com.ua,LT,Lithuania,Europe,Northern Europe
79.98.26.107,4,buyanycarnow.com,LT,Lithuania,Europe,Northern Europe
141.98.11.12,4,ca-pharm.net,LT,Lithuania,Europe,Northern Europe
92.242.187.150,4,cabar.asia,LT,Lithuania,Europe,Northern Europe
188.165.26.64,4,cablexconsulting.com,LT,Lithuania,Europe,Northern Europe
194.135.87.90,4,calconic.com,LT,Lithuania,Europe,Northern Europe
45.84.205.195,4,cartier.md,LT,Lithuania,Europe,Northern Europe
88.223.86.177,4,cbdguide.me,LT,Lithuania,Europe,Northern Europe
88.223.82.210,4,cdltmds.com,LT,Lithuania,Europe,Northern Europe
45.84.204.40,4,chandigarh-escorts.com,LT,Lithuania,Europe,Northern Europe
84.32.84.32,4,cheapassignmenthelp.com.au,LT,Lithuania,Europe,Northern Europe
92.61.37.130,4,ciurlionis.lt,LT,Lithuania,Europe,Northern Europe
185.5.52.49,4,classifieds.lt,LT,Lithuania,Europe,Northern Europe
84.32.84.33,4,comprare-patente-italiana.com,LT,Lithuania,Europe,Northern Europe
