reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
38.180.77.63,4,-11,22bet.onl,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
192.121.38.145,4,-323,acfnewsource.org,NO,Europe,Northern Europe,Norway,,,
217.170.193.90,4,6,afrol.com,NO,Europe,Northern Europe,Norway,Rogaland,,Haugesund
104.37.38.113,4,0,agderleague.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
81.175.54.3,4,-1,agendamagasin.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
46.250.221.30,4,-31,agetoage4.com,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
104.37.38.106,4,-5,aktivioslo.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
104.37.38.107,4,3,alta-elektro.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
193.107.30.178,4,19,amedia.no,NO,Europe,Northern Europe,Norway,,,
46.250.221.39,4,18,anart.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
185.42.170.200,4,30,anduin.net,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
185.12.56.135,4,5,antropologi.info,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
83.242.12.67,4,7,avaldsnes.info,NO,Europe,Northern Europe,Norway,Vestland,,Husnes
185.91.67.250,4,1,basecampexplorer.com,NO,Europe,Northern Europe,Norway,,,
185.181.60.49,4,47,bato.to,NO,Europe,Northern Europe,Norway,Vestfold,,Sandefjord
46.250.221.12,4,50,bawser.com,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
91.220.143.178,4,-1,beatfoundation.com,NO,Europe,Northern Europe,Norway,,,
91.220.143.177,4,4,beatfoundation.com,NO,Europe,Northern Europe,Norway,,,
185.114.57.89,4,2,bekkelund.net,NO,Europe,Northern Europe,Norway,,,
185.47.40.253,4,28,bellona.ru,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
31.24.128.65,4,-8,bergen-guide.com,NO,Europe,Northern Europe,Norway,,,
91.190.155.33,4,1,besteonlinecasinos.com,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
185.181.62.139,4,29779,bikez.com,NO,Europe,Northern Europe,Norway,Vestfold,,Sandefjord
104.233.9.223,4,-6,birkebeiner.no,NO,Europe,Northern Europe,Norway,,,
195.1.92.4,4,57,bitfocus.io,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
185.116.4.109,4,-538,bmobilized.com,NO,Europe,Northern Europe,Norway,,,
104.37.38.85,4,-12,bondivvs.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
185.116.4.76,4,-36,buyandread.com,NO,Europe,Northern Europe,Norway,,,
80.65.56.33,4,694,byoin-kyokasho.org,NO,Europe,Northern Europe,Norway,,,
194.102.175.31,4,48,cephalexinme365.top,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
192.165.108.63,4,2017,codefactory.se,NO,Europe,Northern Europe,Norway,,,
51.13.37.176,4,44,compendiamedlem.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
195.254.219.69,4,-33,connectid.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
91.189.181.38,4,0,cuescore.com,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
195.1.88.21,4,21,dagogtid.no,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
46.250.221.10,4,-26,dailyscandinavian.com,NO,Europe,Northern Europe,Norway,Oslo County,,Oslo
217.170.207.99,4,-27,detsoteliv.no,NO,Europe,Northern Europe,Norway,Rogaland,,Haugesund
