reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
81.0.249.126,4,5,agdiesels.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.150.239,4,-32,betthebuilder.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.150.54,4,5,discovermni.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
81.0.221.29,4,-4,DNS Server: vmi1107351.contaboserver.net,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
81.0.247.39,4,-2,DNS Server: vmi1111501.contaboserver.net,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.135.23,4,18,drukzpomyslami.pl,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.158.45,4,0,laparoscopyhospital.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.111.26,4,-12,latestbingobonuses.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.101.69,4,-3,mastertopforum.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
185.219.142.254,4,19,monopharmacareltd.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.104.228,4,94,openxcom.org,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.129.184,4,13,piratenpower.nl,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.109.121,4,22,propertysurveying.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.154.62,4,42,satespace.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.104.101,4,14,sharehouseg.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.145.54,4,23,syriaque.be,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
158.220.94.119,4,11,tenazinha.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.155.53,4,10,theguardiancrosswordanswers.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
5.44.23.148,4,33,totalrl.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.97.190,4,15,transport-community.org,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.130.162,4,8,traveldroppings.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
80.190.83.90,4,10,uxlthemes.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
81.0.218.75,4,12,voucherbin.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.107.72,4,9,xang-biblio.ru,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
83.222.230.58,4,4,xxcycle.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.154.28,4,8,zmessages.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
