reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
31.193.138.136,4,5,ajaxavailabilitycalendar.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
185.203.72.11,4,54,antikor.com.ua,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.35.98,4,50,asensetranslations.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.39.172,4,13,bribes.org,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.32.159,4,14,burnspet.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
31.193.136.166,4,7,cardiffcastle.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.52.107,4,4,catedraldevalencia.es,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.35.231,4,3,charliechaplin.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.63.169,4,13,chisenhale.org.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.32.192,4,7,derianhouse.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
81.138.193.209,4,-2141833486,DNS Server: send.tateoil.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.35.41,4,10,firmiamo.it,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.54.184,4,1308,geol-alp.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.52.206,4,9,ibizasoulluxuryvillas.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.63.182,4,1361,johnredwoodsdiary.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.58.106,4,21,lamerepoulard.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.53.30,4,4,lineadombra.it,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.35.175,4,15,pikesibiza.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.38.201,4,11,pneumaticisottocontrollo.it,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.34.146,4,9,riberasalud.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
85.234.135.183,4,15,richieburnett.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
85.234.130.173,4,2,scas.org.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.32.224,4,47,selectsportssouvenirs.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.39.249,4,34,sporteconomy.it,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.34.187,4,8,traveline.cymru,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
85.234.130.217,4,849,valcucine.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.35.119,4,56,visitswanseabay.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
151.236.34.172,4,2,wembleypark.com,GB,Europe,Northern Europe,United Kingdom,England,Reading,Reading
