reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
45.152.66.108,4,-17,0cdc.com,GB,Europe,Northern Europe,United Kingdom,England,,London
41.215.241.169,4,217,1010-shop.com,GB,Europe,Northern Europe,United Kingdom,England,,London
31.132.2.56,4,6,1883magazine.com,GB,Europe,Northern Europe,United Kingdom,England,,London
51.89.122.43,4,5,1obl.ru,GB,Europe,Northern Europe,United Kingdom,England,,London
77.72.3.134,4,3,21.training,GB,Europe,Northern Europe,United Kingdom,England,,London
91.109.244.49,4,1434,22cans.com,GB,Europe,Northern Europe,United Kingdom,England,,London
151.236.216.90,4,12,3dscanstore.com,GB,Europe,Northern Europe,United Kingdom,England,,London
89.187.85.8,4,6,3dweb.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
51.89.69.29,4,4,3eeweb.com,GB,Europe,Northern Europe,United Kingdom,England,,London
109.237.24.143,4,327939,3g.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
139.162.231.37,4,440820,4g.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
94.23.158.211,4,6,4t-niagara.com,GB,Europe,Northern Europe,United Kingdom,England,,London
169.197.114.137,4,4,51.la,GB,Europe,Northern Europe,United Kingdom,England,,London
178.79.178.126,4,215727,5g.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.139,4,13,5minuteenglish.com,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.31,4,-3,5minuteenglish.com,GB,Europe,Northern Europe,United Kingdom,England,,London
62.100.206.125,4,2,aakss.org.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
139.162.235.38,4,4,abctales.com,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.205,4,4,abdnha.org,GB,Europe,Northern Europe,United Kingdom,England,,London
51.68.206.202,4,373,abpic.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
51.89.98.120,4,5,accedo.gr,GB,Europe,Northern Europe,United Kingdom,England,,London
51.89.151.192,4,35,actinspace.org,GB,Europe,Northern Europe,United Kingdom,England,,London
85.119.82.20,4,4,adamspiers.org,GB,Europe,Northern Europe,United Kingdom,England,,London
185.53.58.102,4,3,addictionhelper.com,GB,Europe,Northern Europe,United Kingdom,England,,London
192.250.234.43,4,-1,adgroup.co,GB,Europe,Northern Europe,United Kingdom,England,,London
77.75.125.90,4,9,advancedco.com,GB,Europe,Northern Europe,United Kingdom,England,,London
77.72.5.144,4,71,agespace.org,GB,Europe,Northern Europe,United Kingdom,England,,London
62.100.206.167,4,4,ainsworths.com,GB,Europe,Northern Europe,United Kingdom,England,,London
185.116.212.103,4,3,airgunbbs.com,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.213,4,1,ajsocal.org,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.16,4,5,ajsocal.org,GB,Europe,Northern Europe,United Kingdom,England,,London
41.215.241.167,4,740,albaraka.site,GB,Europe,Northern Europe,United Kingdom,England,,London
51.89.244.149,4,14,aldeburghfishandchips.co.uk,GB,Europe,Northern Europe,United Kingdom,England,,London
94.46.192.130,4,1,alevemente.blog,GB,Europe,Northern Europe,United Kingdom,England,,London
85.119.82.184,4,4,alexhudson.com,GB,Europe,Northern Europe,United Kingdom,England,,London
178.79.134.59,4,2,alexwlchan.net,GB,Europe,Northern Europe,United Kingdom,England,,London
198.244.213.117,4,-20,alisonjacquesgallery.com,GB,Europe,Northern Europe,United Kingdom,England,,London
62.100.206.138,4,4,alpha-week.com,GB,Europe,Northern Europe,United Kingdom,England,,London
192.250.239.82,4,8,amberley-books.com,GB,Europe,Northern Europe,United Kingdom,England,,London
5.100.156.170,4,0,americanbazaaronline.com,GB,Europe,Northern Europe,United Kingdom,England,,London
80.85.87.106,4,3,amideast.org,GB,Europe,Northern Europe,United Kingdom,England,,London
