reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
81.0.249.126,4,5,agdiesels.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.144.36,4,7,aladin.social,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.150.54,4,5,discovermni.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
81.0.247.39,4,202,DNS Server: vmi1111501.contaboserver.net,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.135.23,4,18,drukzpomyslami.pl,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
158.220.86.253,4,6,enfogentraining.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
159.100.136.66,4,29,gold.ac.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
94.72.104.228,4,94,openxcom.org,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.154.44,4,14,pcsite.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
85.190.246.138,4,28,redcorelinux.org,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.154.62,4,-1,satespace.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.145.54,4,23,syriaque.be,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
158.220.94.119,4,11,tenazinha.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
5.44.23.147,4,3,totalrl.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
66.155.22.83,4,6,trinitytheatre.net,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
81.0.218.75,4,4,voucherbin.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.144.172,4,180,wiltons.org.uk,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
83.222.230.58,4,4,xxcycle.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
149.102.154.28,4,8,zmessages.com,GB,Europe,Northern Europe,United Kingdom,England,Portsmouth,Portsmouth
