reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
82.71.205.1,4,-1,alfaworkshop.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.29,4,23,artmonthly.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.11,4,1,baldstyled.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.24,4,-1,beyondautism.org.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.37,4,-14,blueskypixels.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.12,4,2,chemguide.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.21,4,0,icax.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.30,4,-6,jakeanddinoschapman.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.3,4,48,jewishtelegraph.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.14,4,0,k-type.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.4,4,4,kevinanderson.info,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.7,4,13,manchesterbars.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.19,4,-5,markwebber.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.5,4,1,mysticsons.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.38,4,-20,myzen.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
213.210.34.143,4,-13,pages.gay,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.11,4,8,performingartistes.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.9,4,62,reeddesign.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.93,4,-1,reesmarine.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.10,4,-1,rnpsa.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.26,4,6,showbus.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.205.6,4,17,siliconglen.scot,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.25,4,-1,windmillhillcityfarm.org.uk,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
82.71.204.23,4,-1,zednelson.com,GB,Europe,Northern Europe,United Kingdom,England,Stockport,Stockport
