reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
188.246.206.137,4,1,autoindustry.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
213.143.20.193,4,2,bricksfanz.com,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
89.145.244.60,4,60883,DNS Server: 89-145-244-60.xdsl.murphx.net,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
89.145.240.121,4,-3914,DNS Server: gw.jms-ltd.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
89.145.240.120,4,-3913,DNS Server: nw.jms-ltd.co.uk,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
188.246.206.13,4,513889,mbct.com,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
81.23.60.242,4,-3,Ookla Speedtest Server 6513: speedtest-public1.ask4.net,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
188.246.205.237,4,2216,oxfordmindfulness.org,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
143.167.2.102,4,3,sheffield.ac.uk,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
213.143.20.85,4,36,thedesignersrepublic.com,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
188.246.204.181,4,0,vpltd.com,GB,Europe,Northern Europe,United Kingdom,England,Sheffield,Sheffield
