reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
178.255.116.57,4,1,Ookla Speedtest Server 12799: speedtest.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.61,4,-2,Ookla Speedtest Server 28390: speed.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.50,4,-4,Ookla Speedtest Server 31495: speedaprilia.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.52,4,-13,Ookla Speedtest Server 31496: speedcisterna.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.54,4,353,Ookla Speedtest Server 31497: speednettuno.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.53,4,9,Ookla Speedtest Server 31498: speedcori.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.56,4,10,Ookla Speedtest Server 31499: speedsabaudia.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.55,4,-3,Ookla Speedtest Server 31500: speedpriverno.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.51,4,-2,Ookla Speedtest Server 31501: speedardea.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
178.255.116.58,4,25,Ookla Speedtest Server 31502: speedvelletri.teleimpiantisrl.net,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
152.89.171.5,4,-8,Ookla Speedtest Server 70282: speedtest.neofiber.it,IT,Europe,Southern Europe,Italy,Lazio,Provincia di Latina,Aprilia
