reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
85.18.173.126,4,-5,cittametropolitanaroma.it,IT,Europe,Southern Europe,Italy,Campania,Naples,Naples
91.231.164.112,4,0,DNS Server: 91-231-164-112.libradsl.it,IT,Europe,Southern Europe,Italy,Campania,Province of Caserta,Pastorano
91.231.164.16,4,56950,DNS Server: 91-231-164-16.libradsl.it,IT,Europe,Southern Europe,Italy,Campania,Province of Caserta,Pastorano
93.51.198.18,4,32,DNS Server: 93-51-198-18.ip268.fastwebnet.it,IT,Europe,Southern Europe,Italy,Campania,Naples,Naples
2.119.131.34,4,6,DNS Server: host-2-119-131-34.business.telecomitalia.it,IT,Europe,Southern Europe,Italy,Campania,Naples,Naples
89.21.204.117,4,-7,DNS Server: host117-204-21-89.convergenze.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Capaccio Paestum
94.101.55.216,4,68764091,DNS Server: host216-55-101-94.convergenze.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Agropoli
94.101.54.44,4,369,DNS Server: host44-54-101-94.convergenze.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Agropoli
62.94.195.107,4,2309,DNS Server: ip-195-107.sn1.clouditalia.com,IT,Europe,Southern Europe,Italy,Campania,Naples,Caivano
130.0.184.10,4,40,DNS Server: net-130-0-184-10.cust.vodafonedsl.it,IT,Europe,Southern Europe,Italy,Campania,Naples,Naples
93.150.45.238,4,2938,DNS Server: net-93-150-45-238.cust.vodafonedsl.it,IT,Europe,Southern Europe,Italy,Campania,Naples,Naples
134.90.248.35,4,6,Ookla Speedtest Server 2355: geny.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Capaccio Paestum
185.40.212.20,4,-21872,Ookla Speedtest Server 7020: speedtest.net.nhm.it,IT,Europe,Southern Europe,Italy,Campania,Province of Caserta,Aversa
185.124.180.2,4,-4,Ookla Speedtest Server 7347: speedtestsalerno.wirlabtlc.com,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Scafati
185.21.248.1,4,174859,Ookla Speedtest Server 10247: st1.sinergiatel.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Salerno
185.215.140.4,4,6,Ookla Speedtest Server 17155: speedtest1.farecom.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Campagna
185.215.140.10,4,-6,Ookla Speedtest Server 17155: speedtest1.farecom.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Campagna
176.58.82.65,4,40865,Ookla Speedtest Server 19953: na.speedtest.warian.net,IT,Europe,Southern Europe,Italy,Campania,Naples,Nola
185.68.192.15,4,-181339,Ookla Speedtest Server 26217: speedtest.connectivia.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Angri
91.231.164.108,4,2,Ookla Speedtest Server 31610: speedtest.libradsl.it,IT,Europe,Southern Europe,Italy,Campania,Province of Caserta,Pastorano
141.98.124.243,4,1,Ookla Speedtest Server 44511: sp2ookla.flynetwork.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Vallo della Lucania
141.98.124.242,4,9,Ookla Speedtest Server 48794: sp1ookla.flynetwork.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Novi Velia
89.21.196.251,4,-4,Ookla Speedtest Server 55199: speedtest.convergenze.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Capaccio Paestum
89.21.196.252,4,16,Ookla Speedtest Server 55285: speedtest2.convergenze.it,IT,Europe,Southern Europe,Italy,Campania,Province of Salerno,Capaccio Paestum
185.178.9.244,4,-5,Ookla Speedtest Server 56269: speedtest.unicasmart.it,IT,Europe,Southern Europe,Italy,Campania,Province of Avellino,Ariano Irpino
176.58.82.73,4,4312384,Ookla Speedtest Server 59595: bri.speedtest.warian.net,IT,Europe,Southern Europe,Italy,Campania,Naples,Nola
185.40.215.2,4,11,Ookla Speedtest Server 63966: speedtest.mi.net.nhm.it,IT,Europe,Southern Europe,Italy,Campania,Province of Caserta,Aversa
