reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
213.187.10.117,4,29,aiti.org,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Albettone
193.238.136.120,4,1709,axera.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Vicenza
109.168.65.86,4,29,DNS Server: 86.65.168.109.cust.ip.kpnqwest.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Dueville
2.113.76.38,4,23,DNS Server: host-2-113-76-38.business.telecomitalia.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Conco
92.246.96.218,4,189,DNS Server: ip-218.96.246.92.interplanet.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Montecchio Maggiore
89.189.33.44,4,43,DNS Server: ip.89.189.33.44.telemar.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Asiago
109.168.74.70,4,4,mirabileweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Dueville
185.167.112.21,4,378,Ookla Speedtest Server 8289: speedtest.flynet.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Rosà
46.28.121.114,4,239,Ookla Speedtest Server 54292: speedtest-vi.wifiweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Villaverla
46.28.121.118,4,180,Ookla Speedtest Server 54323: speedtest-pd.wifiweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Villaverla
94.126.12.11,4,144,Ookla Speedtest Server 55373: speedtest-valdagno.wifiweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Recoaro Terme
46.28.121.115,4,148,Ookla Speedtest Server 55457: speedtest-sossano.wifiweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Villaverla
46.28.121.117,4,260,Ookla Speedtest Server 55459: speedtest-brendola.wifiweb.it,IT,Europe,Southern Europe,Italy,Veneto,Province of Vicenza,Villaverla
