reflector_ip,ip_version,description,country_code,country_name,region,sub_region
66.85.132.138,4,bright-nation.org,MT,Malta,Europe,Southern Europe
31.172.248.162,4,burgoynes-lyonshall.co.uk,MT,Malta,Europe,Southern Europe
66.85.158.91,4,epid.gov.lk,MT,Malta,Europe,Southern Europe
66.85.162.203,4,ijcps.com,MT,Malta,Europe,Southern Europe
185.76.245.85,4,itfa.org,MT,Malta,Europe,Southern Europe
85.184.96.0,4,kindredgroup.com,MT,Malta,Europe,Southern Europe
66.85.142.50,4,ktunaxa.org,MT,Malta,Europe,Southern Europe
193.188.46.34,4,nic.org.mt,MT,Malta,Europe,Southern Europe
66.85.132.82,4,nimbelink.com,MT,Malta,Europe,Southern Europe
212.56.138.60,4,Ookla Speedtest server: speedtest.melita.com,MT,Malta,Europe,Southern Europe
213.165.185.250,4,the-case.eu,MT,Malta,Europe,Southern Europe
193.188.46.240,4,um.edu.mt,MT,Malta,Europe,Southern Europe
66.85.128.68,4,unae.edu.ec,MT,Malta,Europe,Southern Europe
85.184.96.28,4,unibet.com,MT,Malta,Europe,Southern Europe
85.184.96.42,4,unibet.fr,MT,Malta,Europe,Southern Europe
66.85.130.37,4,visionhelpdesk.com,MT,Malta,Europe,Southern Europe
