reflector_ip,ip_version,description,country_code,country_name,region,sub_region
89.205.127.218,4,24.mk,MK,North Macedonia,Europe,Southern Europe
82.214.118.26,4,akademik.mk,MK,North Macedonia,Europe,Southern Europe
92.55.94.10,4,crnobelo.com,MK,North Macedonia,Europe,Southern Europe
185.250.254.26,4,dksk.mk,MK,North Macedonia,Europe,Southern Europe
185.250.254.7,4,dropin.com.mk,MK,North Macedonia,Europe,Southern Europe
194.149.137.162,4,dszi.gov.mk,MK,North Macedonia,Europe,Southern Europe
37.26.96.242,4,footballaccumulatortips.info,MK,North Macedonia,Europe,Southern Europe
130.185.249.180,4,gomint.me,MK,North Macedonia,Europe,Southern Europe
195.26.153.167,4,idividi.com.mk,MK,North Macedonia,Europe,Southern Europe
212.13.66.68,4,jorm.gov.mk,MK,North Macedonia,Europe,Southern Europe
195.26.152.222,4,kikservice.com.mk,MK,North Macedonia,Europe,Southern Europe
192.119.9.146,4,kppf.co.ke,MK,North Macedonia,Europe,Southern Europe
195.26.152.95,4,ladna.com.mk,MK,North Macedonia,Europe,Southern Europe
82.214.114.2,4,lis.mk,MK,North Macedonia,Europe,Southern Europe
195.200.246.101,4,makpetrol.com.mk,MK,North Macedonia,Europe,Southern Europe
62.162.105.91,4,mamasfood.mk,MK,North Macedonia,Europe,Southern Europe
62.220.207.199,4,mojtelekom.mk,MK,North Macedonia,Europe,Southern Europe
92.55.94.138,4,motika.mk,MK,North Macedonia,Europe,Southern Europe
198.133.206.11,4,press24.mk,MK,North Macedonia,Europe,Southern Europe
62.77.139.247,4,setec.mk,MK,North Macedonia,Europe,Southern Europe
192.119.9.178,4,standardgroupinvestment.com,MK,North Macedonia,Europe,Southern Europe
195.26.152.130,4,t.mk,MK,North Macedonia,Europe,Southern Europe
89.205.127.216,4,telekabel.com.mk,MK,North Macedonia,Europe,Southern Europe
195.26.149.198,4,telekom.mk,MK,North Macedonia,Europe,Southern Europe
195.26.152.196,4,thirdear.com.mk,MK,North Macedonia,Europe,Southern Europe
92.55.94.131,4,tocka.com.mk,MK,North Macedonia,Europe,Southern Europe
79.99.56.2,4,ugd.edu.mk,MK,North Macedonia,Europe,Southern Europe
194.149.131.36,4,ukim.edu.mk,MK,North Macedonia,Europe,Southern Europe
192.119.9.125,4,usselfstorage.com,MK,North Macedonia,Europe,Southern Europe
195.200.246.103,4,verna.mk,MK,North Macedonia,Europe,Southern Europe
