reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
130.185.87.209,4,-4,3ces.pt,PT,Europe,Southern Europe,Portugal,,,
109.71.43.210,4,8,4800bps.com,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
213.58.130.233,4,147,4cmedica.com,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
193.136.6.31,4,-4,a3es.pt,PT,Europe,Southern Europe,Portugal,Porto,,Porto
185.31.158.101,4,-3,abeltronica.com,PT,Europe,Southern Europe,Portugal,,,
94.46.161.200,4,7,abreu.pt,PT,Europe,Southern Europe,Portugal,,,
185.15.20.191,4,15,abreu.pt,PT,Europe,Southern Europe,Portugal,,,
94.126.169.176,4,14,acad-ciencias.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.168.100,4,28,acconstrucoes.pt,PT,Europe,Southern Europe,Portugal,,,
213.146.202.161,4,32,adecco.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Carnaxide
130.185.84.79,4,3,aeffl.pt,PT,Europe,Southern Europe,Portugal,,,
195.170.168.61,4,24,aeiou.pt,PT,Europe,Southern Europe,Portugal,,,
185.12.116.220,4,866,aen2elvas.com,PT,Europe,Southern Europe,Portugal,,,
185.12.116.92,4,737,afocelca.com,PT,Europe,Southern Europe,Portugal,,,
5.253.129.101,4,37,agendaculturalporto.org,PT,Europe,Southern Europe,Portugal,,,
185.32.190.69,4,7,agendalx.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.175.161,4,105,agrosevilla.com,PT,Europe,Southern Europe,Portugal,,,
185.32.188.19,4,8,aidep.org,PT,Europe,Southern Europe,Portugal,,,
83.240.239.145,4,1,aima.gov.pt,PT,Europe,Southern Europe,Portugal,Porto,,Porto
194.38.157.142,4,0,aiod.eu,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
94.46.169.95,4,38,airfree.com,PT,Europe,Southern Europe,Portugal,,,
5.154.174.233,4,70,akmediahosting.com,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
94.46.23.192,4,53,algaevertical.com,PT,Europe,Southern Europe,Portugal,,,
94.46.180.78,4,8,algarve-portal.com,PT,Europe,Southern Europe,Portugal,,,
62.233.41.47,4,455,alvamater.com,PT,Europe,Southern Europe,Portugal,,,
94.46.170.232,4,20,ambientemagazine.com,PT,Europe,Southern Europe,Portugal,,,
109.71.43.203,4,10,amd-export.com,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
94.46.15.155,4,35,amorinsesilva.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.160.66,4,9,anacom-consumidor.pt,PT,Europe,Southern Europe,Portugal,,,
109.71.40.14,4,6,anesaportugal.org,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
185.32.188.33,4,-37,animagest.com.pt,PT,Europe,Southern Europe,Portugal,,,
62.28.14.57,4,7,anmp.pt,PT,Europe,Southern Europe,Portugal,,,
130.185.83.99,4,3123,anonimais.org,PT,Europe,Southern Europe,Portugal,,,
185.99.234.75,4,15,antartica.com.pt,PT,Europe,Southern Europe,Portugal,,,
94.126.169.147,4,0,anticor.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.183.60,4,6069,antipragas.com,PT,Europe,Southern Europe,Portugal,,,
94.46.25.55,4,2,ap-hotelsresorts.com,PT,Europe,Southern Europe,Portugal,,,
109.71.44.100,4,1,apadariaportuguesa.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
94.46.173.48,4,-14,apcergroup.com,PT,Europe,Southern Europe,Portugal,,,
185.90.57.136,4,360,apda.pt,PT,Europe,Southern Europe,Portugal,,,
185.118.114.199,4,157,apdp.pt,PT,Europe,Southern Europe,Portugal,,,
185.90.57.197,4,2755,apostaonline.pt,PT,Europe,Southern Europe,Portugal,,,
94.126.169.171,4,39,appa-mtc.org,PT,Europe,Southern Europe,Portugal,,,
94.46.181.223,4,-708,appi.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.22.142,4,27,appletonmedicalcare.pt,PT,Europe,Southern Europe,Portugal,,,
185.32.188.5,4,1749,aprenderapoupar.com,PT,Europe,Southern Europe,Portugal,,,
94.126.169.196,4,25,aps.pt,PT,Europe,Southern Europe,Portugal,,,
185.11.166.28,4,-5,aroucageopark.pt,PT,Europe,Southern Europe,Portugal,,,
195.200.252.208,4,36014,aroucageopark.pt,PT,Europe,Southern Europe,Portugal,,,
91.209.16.215,4,9,arquivopessoa.net,PT,Europe,Southern Europe,Portugal,,,
130.185.87.66,4,13,arteriae.net,PT,Europe,Southern Europe,Portugal,,,
176.61.149.48,4,114,asbeiras.pt,PT,Europe,Southern Europe,Portugal,,,
185.32.189.192,4,436,assisdrive.pt,PT,Europe,Southern Europe,Portugal,,,
185.32.189.208,4,-1,atelevisao.com,PT,Europe,Southern Europe,Portugal,,,
185.12.116.102,4,1012,aterratreme.pt,PT,Europe,Southern Europe,Portugal,,,
130.185.83.150,4,905,aulp.org,PT,Europe,Southern Europe,Portugal,,,
5.253.128.113,4,2,aurpicm.pt,PT,Europe,Southern Europe,Portugal,,,
109.71.43.216,4,26,autocarisma.com,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
185.32.190.127,4,-9,autonoma.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.135.179,4,381,autoreno.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.176.92,4,1,avidaportuguesa.com,PT,Europe,Southern Europe,Portugal,,,
94.46.14.1,4,-954506,avozdoalgarve.pt,PT,Europe,Southern Europe,Portugal,,,
185.12.116.63,4,-139,azoreantours.com,PT,Europe,Southern Europe,Portugal,,,
94.46.181.1,4,-560,balflex.com,PT,Europe,Southern Europe,Portugal,,,
5.253.182.100,4,55,balflex.de,PT,Europe,Southern Europe,Portugal,,,
109.71.40.220,4,829,barrocal.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
94.126.169.239,4,23,better-place.pt,PT,Europe,Southern Europe,Portugal,,,
194.39.124.63,4,-8,blandyswinelodge.com,PT,Europe,Southern Europe,Portugal,,,
194.39.126.94,4,16,bloco.org,PT,Europe,Southern Europe,Portugal,,,
185.31.158.118,4,870,bloco.org,PT,Europe,Southern Europe,Portugal,,,
94.126.169.162,4,4,bluelabeltransfers.com,PT,Europe,Southern Europe,Portugal,,,
193.137.201.84,4,3,boaventuradesousasantos.pt,PT,Europe,Southern Europe,Portugal,Coimbra,,Coimbra
185.99.235.6,4,-3,bocadolobo.com,PT,Europe,Southern Europe,Portugal,,,
185.32.190.7,4,-1354,boutiquedacarne1.pt,PT,Europe,Southern Europe,Portugal,,,
185.99.235.116,4,-3,brabbu.com,PT,Europe,Southern Europe,Portugal,,,
185.31.158.102,4,-2,briefing.pt,PT,Europe,Southern Europe,Portugal,,,
185.12.116.197,4,1121,bruval.pt,PT,Europe,Southern Europe,Portugal,,,
185.12.116.208,4,2967,campeaoprovincias.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.22.40,4,4,campopequeno.com,PT,Europe,Southern Europe,Portugal,,,
185.90.58.143,4,-15,carpilux.com,PT,Europe,Southern Europe,Portugal,,,
94.46.22.222,4,257,casadechadaboanova.pt,PT,Europe,Southern Europe,Portugal,,,
94.126.169.245,4,8,casaduartelagos.com,PT,Europe,Southern Europe,Portugal,,,
185.12.116.233,4,665,casino-lisboa.pt,PT,Europe,Southern Europe,Portugal,,,
62.28.26.232,4,5,casinoportugal.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
185.12.116.154,4,2881,casjd.pt,PT,Europe,Southern Europe,Portugal,,,
188.81.14.47,4,590,cavaleiro-lda.com,PT,Europe,Southern Europe,Portugal,Castelo Branco,,Covilha
185.118.115.209,4,1899,ccip.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.168.170,4,-7,ccvalg.pt,PT,Europe,Southern Europe,Portugal,,,
213.205.79.38,4,3210,cdnacional.pt,PT,Europe,Southern Europe,Portugal,Porto,,Porto
185.12.116.215,4,790,centrosocialdelecadobalio.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.135.23,4,-5,cercifel.org.pt,PT,Europe,Southern Europe,Portugal,,,
185.32.188.7,4,-3,cfa23.pt,PT,Europe,Southern Europe,Portugal,,,
185.240.248.101,4,627,ciab.pt,PT,Europe,Southern Europe,Portugal,,,
185.240.248.155,4,-219,ciaiq.org,PT,Europe,Southern Europe,Portugal,,,
94.46.183.134,4,5919,cicap.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.15.240,4,7,cidaliaferreira.com,PT,Europe,Southern Europe,Portugal,,,
94.46.135.94,4,-917,cimpas.pt,PT,Europe,Southern Europe,Portugal,,,
185.99.235.118,4,5,circu.net,PT,Europe,Southern Europe,Portugal,,,
94.46.168.109,4,6,citi.pt,PT,Europe,Southern Europe,Portugal,,,
195.22.25.130,4,-1,Claranet Limited,PT,Europe,Southern Europe,Portugal,Lisbon,,Estoril
213.205.79.73,4,34,clix.pt,PT,Europe,Southern Europe,Portugal,Porto,,Porto
94.46.23.114,4,-12,clonlara.org,PT,Europe,Southern Europe,Portugal,,,
194.65.92.189,4,18,cm-aveiro.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
89.114.200.81,4,-2,cm-feira.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
194.65.141.201,4,-6,cm-fundao.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
5.253.181.199,4,-3,cm-gondomar.pt,PT,Europe,Southern Europe,Portugal,,,
213.228.152.94,4,28003120,cm-grandola.pt,PT,Europe,Southern Europe,Portugal,Porto,,Maia
62.48.167.85,4,172,cm-ilhavo.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,
89.26.253.27,4,5,cm-lagoa.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.169.85,4,13,cm-seia.pt,PT,Europe,Southern Europe,Portugal,,,
62.28.196.253,4,45,cm-sintra.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.165.141,4,437,cm-tvedras.pt,PT,Europe,Southern Europe,Portugal,,,
195.23.69.164,4,-6,cne.pt,PT,Europe,Southern Europe,Portugal,,,
185.31.158.211,4,-6,cniacc.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.180.200,4,1395,cnm.com.pt,PT,Europe,Southern Europe,Portugal,,,
185.32.189.167,4,-8,comunidadeculturaearte.com,PT,Europe,Southern Europe,Portugal,,,
94.46.180.217,4,5586,confeitarianacional.com,PT,Europe,Southern Europe,Portugal,,,
94.46.14.91,4,-31,consultactiva.com,PT,Europe,Southern Europe,Portugal,,,
130.185.83.18,4,1228,consumoalgarve.pt,PT,Europe,Southern Europe,Portugal,,,
94.126.169.135,4,13,cordel.pt,PT,Europe,Southern Europe,Portugal,,,
94.46.135.14,4,18,correiodominho.pt,PT,Europe,Southern Europe,Portugal,,,
185.90.59.114,4,1,cotefis.com,PT,Europe,Southern Europe,Portugal,,,
94.46.169.41,4,50,countrybrandingwiki.org,PT,Europe,Southern Europe,Portugal,,,
185.99.235.120,4,31,covetedition.com,PT,Europe,Southern Europe,Portugal,,,
185.99.235.112,4,-17,covethouse.eu,PT,Europe,Southern Europe,Portugal,,,
213.58.130.231,4,678,cpidt.pt,PT,Europe,Southern Europe,Portugal,Lisbon,,Lisbon
185.12.116.198,4,624,criapbusiness.com,PT,Europe,Southern Europe,Portugal,,,
94.46.135.81,4,4,criticalmanufacturing.com,PT,Europe,Southern Europe,Portugal,,,
94.126.169.152,4,8,crucreativehub.com,PT,Europe,Southern Europe,Portugal,,,
185.90.57.129,4,93,cruzvermelha.pt,PT,Europe,Southern Europe,Portugal,,,
185.12.116.100,4,960,csdornelas.pt,PT,Europe,Southern Europe,Portugal,,,
185.169.99.111,4,-4,cufa.org.br,PT,Europe,Southern Europe,Portugal,,,
94.46.26.155,4,19,culturanorte.gov.pt,PT,Europe,Southern Europe,Portugal,,,
176.221.38.145,4,-34,curtas.pt,PT,Europe,Southern Europe,Portugal,,,
