reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.66.41.176,4,-60,36daysoftype.com,ES,Europe,Southern Europe,Spain,,,
185.123.204.78,4,0,43folder.com,ES,Europe,Southern Europe,Spain,Valencia,Valencia,Valencia
178.255.225.73,4,8,7televalencia.com,ES,Europe,Southern Europe,Spain,Valencia,Valencia,Paterna
5.2.89.15,4,7214981,a3exp.com,ES,Europe,Southern Europe,Spain,,,
78.136.66.194,4,3,abrastar.com,ES,Europe,Southern Europe,Spain,Andalusia,Cordoba,Lucena
185.232.41.225,4,57,acadef.es,ES,Europe,Southern Europe,Spain,,,
185.34.194.56,4,15,academiadeinversion.com,ES,Europe,Southern Europe,Spain,,,
46.16.59.123,4,5,academianutricionydietetica.org,ES,Europe,Southern Europe,Spain,,,
82.223.3.143,4,5,aceiteslamatilla.com,ES,Europe,Southern Europe,Spain,,,
89.46.90.250,4,-3,aceitesllorente.com,ES,Europe,Southern Europe,Spain,,,
185.18.197.236,4,-6,acquabella.com,ES,Europe,Southern Europe,Spain,,,
82.223.26.214,4,-5,actasanitaria.com,ES,Europe,Southern Europe,Spain,,,
34.175.21.222,4,-1,actiu.com,ES,Europe,Southern Europe,Spain,Madrid,Madrid,Madrid
37.128.174.36,4,4,adeituv.es,ES,Europe,Southern Europe,Spain,,,
185.186.169.202,4,3,adicciones.es,ES,Europe,Southern Europe,Spain,,,
5.135.40.86,4,449,adlibweb.com,ES,Europe,Southern Europe,Spain,Andalusia,Granada,Granada
185.23.70.8,4,-4,adolescenciasema.org,ES,Europe,Southern Europe,Spain,,,
193.84.177.61,4,0,adqaejecuciondeproyectos.com,ES,Europe,Southern Europe,Spain,,,
46.231.5.250,4,11,adw.es,ES,Europe,Southern Europe,Spain,,,
185.222.157.149,4,258,aecpa.es,ES,Europe,Southern Europe,Spain,,,
185.37.231.211,4,4,aedem.org,ES,Europe,Southern Europe,Spain,,,
31.200.244.7,4,-1,aefundraising.org,ES,Europe,Southern Europe,Spain,,,
185.34.193.63,4,-1,aeropuertobarcelona-elprat.com,ES,Europe,Southern Europe,Spain,,,
134.0.9.15,4,-5,aerotermiazaragoza.es,ES,Europe,Southern Europe,Spain,,,
134.0.8.120,4,28,afasiaarchzine.com,ES,Europe,Southern Europe,Spain,,,
89.248.106.212,4,-1697,agenttravel.es,ES,Europe,Southern Europe,Spain,,,
185.234.224.57,4,11,agroecologia.net,ES,Europe,Southern Europe,Spain,,,
217.71.204.119,4,1285,agronegocios.es,ES,Europe,Southern Europe,Spain,Catalonia,Barcelona,Barcelona
46.16.58.23,4,-23,agropopular.com,ES,Europe,Southern Europe,Spain,,,
85.208.102.102,4,2,aguasresiduales.info,ES,Europe,Southern Europe,Spain,,,
88.148.3.209,4,0,agustinoszaragoza.com,ES,Europe,Southern Europe,Spain,Andalusia,Almeria,Alfoquia
