reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
79.175.125.219,4,5,arte.it,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
217.24.17.44,4,71,beograd.com,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
185.119.89.80,4,15,biepag.eu,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
185.102.77.45,4,46,biroaura.co.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
185.241.214.84,4,3071,craftsmanspace.com,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
185.241.214.85,4,3070,demostat.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
185.119.88.139,4,6,depoistanbul.net,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
178.220.121.98,4,72,DNS Server: 178-220-121-98.dynamic.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
178.222.249.245,4,6048,DNS Server: 178-222-249-245.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
178.222.250.29,4,5,DNS Server: 178-222-250-29.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
77.46.176.17,4,-1142,DNS Server: 77-46-176-17.dynamic.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
79.101.104.162,4,81,DNS Server: 79-101-104-162.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
79.101.160.83,4,692999,DNS Server: 79-101-160-83.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
91.150.103.59,4,36,DNS Server: 91-150-103-59.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
91.150.107.215,4,3477,DNS Server: 91-150-107-215.dynamic.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
91.150.126.174,4,-53092369,DNS Server: 91-150-126-174.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
91.150.126.178,4,151484,DNS Server: 91-150-126-178.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
91.150.126.182,4,42103,DNS Server: 91-150-126-182.static.isp.telekom.rs,RS,Europe,Southern Europe,Serbia,Belgrade,,Belgrade
