reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
194.30.25.10,4,89,ararteko.eus,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
212.142.134.150,4,0,azti.es,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Barakaldo
194.30.34.64,4,0,azurmendi.restaurant,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
194.30.13.76,4,-18,bmsupermercados.es,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Getxo
194.30.12.152,4,-41702,deusto-publicaciones.es,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Getxo
77.231.171.44,4,-4,DNS Server: din-44-171-231-77.ipcom.comunitel.net,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Portugalete
194.30.42.188,4,19,egamaster.com,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
194.30.31.148,4,56,eneadesign.com,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
194.30.34.170,4,2,ojd.es,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
194.30.34.171,4,-11,ojdinteractiva.es,ES,Europe,Southern Europe,Spain,Basque Country,Biscay,Bilbao
