reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
178.156.41.236,4,31,brandmeister.network,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Mula
84.236.133.121,4,6,calatayud.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Murcia
185.95.125.1,4,-36,DNS Server: 1.125.95.185.dynamic.electronicamartinez.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Cartagena
90.77.249.152,4,16411,DNS Server: 152.pool90-77-249.dynamic.orange.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Murcia
85.58.37.194,4,102750,DNS Server: 194.pool85-58-37.dynamic.orange.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Murcia
77.73.41.121,4,-83922,DNS Server: 77-73-41-121-static.telelorca.com,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Lorca
188.214.241.247,4,383,Ookla Speedtest Server 21394: st1alguazas.borecom.com,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Ceuti
62.122.228.135,4,227,Ookla Speedtest Server 45282: speedmurcia.fibranet.tv,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Murcia
176.56.119.11,4,377,Ookla Speedtest Server: speedtest-val.avanzafibra.net,ES,Europe,Southern Europe,Spain,Murcia,Murcia,San Javier
84.232.1.8,4,78,Ookla Speedtest Server: speedtest.servihosting.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Caravaca
84.232.4.8,4,3,realmaestranza.com,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Caravaca
88.148.108.102,4,12,sea-entomologia.org,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Aljucer
95.60.241.227,4,70,troa.es,ES,Europe,Southern Europe,Spain,Murcia,Murcia,Lorca
