reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
51.38.169.100,4,5,amarehotels.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.210.207.118,4,6,aprenderfotografia.online,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.254.23.71,4,24,autismo.org.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
79.137.45.1,4,5,ayudaleyprotecciondatos.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
178.60.29.64,4,365436,blogdefarmacia.com,ES,Europe,Southern Europe,Spain,Galicia,Pontevedra,Vigo
178.32.226.81,4,5,catlike.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
178.60.29.107,4,394428,cgcop.es,ES,Europe,Southern Europe,Spain,Galicia,Pontevedra,Vigo
51.75.233.73,4,13,ciclo21.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.38.169.87,4,5,cise.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
54.37.168.114,4,19,clinicaferrusbratos.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.255.151.87,4,11,clinicamenorca.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
193.144.42.56,4,9,culturagalega.gal,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,Teo
178.32.28.37,4,54,curiosfera-historia.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
5.196.170.81,4,4,democraciarealya.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
141.94.57.155,4,5,dgmingenieria.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.75.233.83,4,5,digitaldeleon.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
178.60.25.141,4,8040,DNS Server: 141.25.60.178.unassigned.reverse-mundo-r.com,ES,Europe,Southern Europe,Spain,Galicia,Pontevedra,Vigo
37.13.100.49,4,-294,DNS Server: 49.red-37-13-100.dynamicip.rima-tde.net,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,Noia
77.26.5.87,4,7,DNS Server: 87.5.26.77.dynamic.reverse-mundo-r.com,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,A Coruña
77.26.214.15,4,35021,DNS Server: asaingenieros.es,ES,Europe,Southern Europe,Spain,Galicia,Pontevedra,Vigo
51.75.233.98,4,7,educalingo.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
5.196.239.38,4,123,elapuron.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.255.120.213,4,156,elcosmonauta.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.38.169.95,4,343,euroresidentes.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.210.87.162,4,19,fly-news.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
176.58.10.208,4,35285,fomentosansebastian.eus,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,A Coruña
5.39.109.133,4,3,formaciononline.eu,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
147.135.225.234,4,3,fuertehoteles.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.254.23.70,4,32,game-learn.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.75.233.104,4,6,growbarato.net,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.210.207.94,4,5,iepp.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
54.37.168.193,4,74,internetrepublica.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
176.58.9.126,4,360,ithotelero.com,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,A Coruña
5.135.120.106,4,2,josefacchin.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
5.196.170.84,4,6,juancmejia.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.210.207.87,4,76,lacastafiore.es,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.75.233.71,4,5,lapreferente.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.254.23.88,4,38,librosdelzorrorojo.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
51.38.169.80,4,143,makutizanzibar.com,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
176.58.8.119,4,1129,mardeons.es,ES,Europe,Southern Europe,Spain,Galicia,A Coruña,A Coruña
5.39.16.169,4,7,marko.net,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
147.135.147.130,4,61,massresources.org,ES,Europe,Southern Europe,Spain,Galicia,Lugo,Lugo
