reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
193.170.200.75,4,133,akbild.ac.at,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.51,4,3,cba.media,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.31,4,-2,fro.at,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.206,4,-1,irational.org,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.11,4,1,kupf.at,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.3,4,4,maiz.at,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.40,4,5,oberhumer.com,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.5,4,8,physicalnarration.org,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.2,4,10,radical-openness.org,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.33,4,9,republicart.net,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
193.170.194.26,4,4,servus.at,AT,Europe,Western Europe,Austria,Lower Austria,,Sitzendorf an der Schmida
