reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
195.189.4.150,4,15,awekas.at,AT,Europe,Western Europe,Austria,Upper Austria,,Kirchdorf an der Krems
80.243.168.87,4,-53475,biz-up.at,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
85.31.0.51,4,2,colop.com,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
78.132.106.136,4,2,DNS Server: 078132106136.public.t-mobile.at,AT,Europe,Western Europe,Austria,Upper Austria,,Redlham
92.39.169.159,4,33038,DNS Server: customer.kabel-braunau.tv,AT,Europe,Western Europe,Austria,Upper Austria,,Braunau am Inn
80.243.171.226,4,288345,eww.at,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
140.78.118.194,4,5,icchp.org,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
140.78.3.160,4,2,jku.at,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
85.31.17.163,4,4,laumat.at,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
85.31.17.164,4,26,laumat.at,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
212.33.55.8,4,5,liwest.at,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
83.164.168.67,4,22,moviemento.at,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
212.33.36.188,4,347,Ookla Speedtest Server 818: speedcheck.liwest.at,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
109.68.104.25,4,272,Ookla Speedtest Server 5476: speedtest.power-speed.at,AT,Europe,Western Europe,Austria,Upper Austria,,Gmunden
80.121.203.250,4,331,Ookla Speedtest Server 14296: speedtest.lucas.company,AT,Europe,Western Europe,Austria,Upper Austria,,Schärding
185.159.200.114,4,178,Ookla Speedtest Server 16161: speedtest-vix.cosys.cc,AT,Europe,Western Europe,Austria,Upper Austria,,Walding
109.234.151.120,4,367,Ookla Speedtest Server 41545: speedtest.goingnet.at,AT,Europe,Western Europe,Austria,Upper Austria,,
85.208.170.13,4,-5,reconstructme.net,AT,Europe,Western Europe,Austria,Upper Austria,,Dietach
85.31.12.81,4,11,rosenbauer.com,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
83.164.148.131,4,4,runtastic.com,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
83.164.133.11,4,3,sanitaer-heinze.com,AT,Europe,Western Europe,Austria,Upper Austria,,Linz
80.123.128.10,4,62,steinbauer.cc,AT,Europe,Western Europe,Austria,Upper Austria,,Pucking
85.31.14.41,4,-8392806,stleonhard.at,AT,Europe,Western Europe,Austria,Upper Austria,,Wels
213.174.248.69,4,11,svried.at,AT,Europe,Western Europe,Austria,Upper Austria,,Ried im Innkreis
77.242.72.36,4,9,wintersteiger.com,AT,Europe,Western Europe,Austria,Upper Austria,,Ried im Innkreis
192.138.211.2,4,2,wthashtag.com,AT,Europe,Western Europe,Austria,Upper Austria,,Rainbach im Mühlkreis
