reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
193.58.164.14,4,11,achensee.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.187,4,41,austrialpin.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.62,4,2,badkleinkirchheim.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.26,4,3,bbt-se.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.24,4,4,bergsteigen.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.15,4,41,best-of-zillertal.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.25,4,0,climbers-paradise.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
83.175.101.244,4,16,DNS Server: clnet-p101-244.ikbnet.co.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
83.175.105.182,4,-4,DNS Server: clnet-p105-182.ikbnet.co.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.72,4,28,fragsburg.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.76,4,2,freizeit-tirol.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.7,4,11,fuessen.de,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.107,4,10,gastein.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.202,4,-1,glungezerbahn.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.193,4,22,grobgroup.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.57,4,-18,hochfuegenski.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.208,4,0,hochschober.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.55,4,-2,hotel-cafe-central.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.108,4,-4,innsbruck.info,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.118,4,36,ivb.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.40,4,-8,kinderhotels.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.116,4,38,kitzbuehel.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.43,4,-4,leitner-ropeways.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.115,4,3,lufthansa-city-center.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.176,4,3,mayrhofen.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.195,4,5,mayrhofner-bergbahnen.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.114,4,4,noerpel.de,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.199,4,9,obereggen.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
83.175.83.105,4,25,oekofen.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.162,4,-17,oetztal.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.165.54,4,22,olympiaworld.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.49,4,7,osttirol.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.190,4,4,ove.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.40,4,2,ph-tirol.ac.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.224,4,8,saale-unstrut-tourismus.de,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.82,4,20,schloss-tratzberg.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.12,4,7,seefeld-sports.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
83.175.83.104,4,34,seo-textagentur.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.240,4,-11,therme-erding.de,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
212.56.191.186,4,30,transkribus.eu,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.102,4,11,tributeband-live.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.112,4,5,tui-reisecenter.de,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.93,4,13,tux.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.171.87.37,4,19,unileoben.ac.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.37,4,4,zillertal-bier.at,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
193.58.164.124,4,9,zillertalarena.com,AT,Europe,Western Europe,Austria,Tyrol,,Innsbruck
