reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
35.187.38.63,4,0,abandonedamerica.us,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
193.105.133.207,4,-5,abvv.be,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
195.244.164.246,4,-9,actiris.be,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
195.244.164.244,4,0,actiris.brussels,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.233.1.67,4,6,adsmurai.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
34.140.206.68,4,8,alinea.fr,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
130.211.93.122,4,3,aninas-recipes.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.195.44.168,4,-34,arikair.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.187.69.194,4,5,arredaremoderno.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
34.76.167.12,4,51,atlasgeneticsoncology.org,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
104.155.14.22,4,29,audiencetalking.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.241.159.76,4,-16,awmagazin.de,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
193.191.132.22,4,17,awt.be,BE,Europe,Western Europe,Belgium,Brussels Capital,,Schaarbeek
34.77.13.208,4,15,bahamasair.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
38.244.130.121,4,35,baronbob.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
104.199.51.61,4,0,bestadvisers.co.uk,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
104.155.100.205,4,3,bialkatatrzanska.pl,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
217.19.225.165,4,-21,bobex.be,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
193.105.133.212,4,-377850,botrange.be,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
195.244.180.66,4,21,bruxellesformation.brussels,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.189.247.58,4,-10,bticino.it,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.241.185.249,4,35,burgo.com,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
35.205.42.152,4,5,c3po.link,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
104.155.52.66,4,25,cable.co.uk,BE,Europe,Western Europe,Belgium,Brussels Capital,,Brussels
