reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
94.139.39.10,4,35,amazone.be,BE,Europe,Western Europe,Belgium,Wallonia,Namur Province,Gembloux
213.177.64.28,4,-15,brocanteterre.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Flémalle
139.165.51.100,4,-2,chuliege.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
91.182.59.41,4,-1,DNS Server: 41.59-182-91.adsl-dyn.isp.belgacom.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
79.132.242.65,4,-66,DNS Server: 79.132.242.65.fix.adsl.edpnet.net,BE,Europe,Western Europe,Belgium,Wallonia,Hainaut Province,Morlanwelz-Mariemont
87.65.84.87,4,46,DNS Server: 87.84-65-87.adsl-dyn.isp.belgacom.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
83.134.123.101,4,65,DNS Server: ip-83-134-123-101.dsl.scarlet.be,BE,Europe,Western Europe,Belgium,Wallonia,Hainaut Province,La Louvière
193.190.182.53,4,-4,DoH server: dns.belnet.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
185.99.48.223,4,-1061776,exalto.be,BE,Europe,Western Europe,Belgium,Wallonia,Hainaut Province,Montigny-le-Tilleul
139.165.57.26,4,0,fsagx.ac.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
139.165.160.20,4,-15,gmsh.info,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Awans
46.16.240.100,4,4,intermarche.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
193.190.183.132,4,-30,kmska.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
212.166.22.82,4,0,mega.be,BE,Europe,Western Europe,Belgium,Wallonia,Namur Province,Floreffe
188.66.8.10,4,1,Ookla Speedtest Server 61249: speedtest.sewan.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Raeren
139.165.57.92,4,0,openjustice.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
139.165.51.107,4,24,ulg.ac.be,BE,Europe,Western Europe,Belgium,Wallonia,Liège Province,Liège
