reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
91.223.40.91,4,5,30millionsdamis.fr,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.236.81,4,11,4g.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.210,4,25,abacusspiele.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.55.240,4,21,adfc-bw.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.223,4,50,adweise.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.55.230,4,46,aena.at,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
212.234.3.148,4,4,agglo-montbeliard.fr,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Wolfisheim
92.204.43.89,4,19,agrifarm.ro,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.100,4,23,airportzentrale.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.95,4,23,akupunktur.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.42.108.33,4,3,alcomag.ua,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.55.163,4,36,all-about-security.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.22,4,9,alpenfoehn.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.231,4,5,alt-katholisch.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
134.119.176.27,4,9,americorps.org,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
62.138.26.110,4,8,angelcabrera.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.195,4,6,annenmaykantereit.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.32,4,6,apfelwiki.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
62.138.14.53,4,41,apopug.org,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.102,4,9,archaeologisches-museum-frankfurt.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.113,4,158,archenemy.net,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.236.132,4,24,arena2036.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.44,4,9,artefakt-berlin.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.61,4,13,asbh.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
193.49.4.44,4,7,astromatic.net,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.29,4,9,at-rs.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.84,4,9,bagw.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.35,4,12,bap.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.8,4,18,bastianallgeier.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.35.255.76,4,21,baysf.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.228,4,10,berliner-filmfestivals.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
62.138.184.189,4,101,berliner-fussball.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.52,4,123,beste-bookmakers.nl,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.49,4,54,besucher-award.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.132,4,10,beurer.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.58.156,4,110,blickpunkt-brandenburg.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.42.106.189,4,17,bloggerwala.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.187,4,42,bm262.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
85.25.118.112,4,2713,book-online.com.ua,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.238,4,9,brotfabrik-berlin.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
62.75.254.50,4,2105053,browsebiography.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.124,4,10,buback.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.28,4,28,buechner-verlag.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.239.169,4,47,buildyourguitar.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
5.175.14.20,4,27,burg-posterstein.de,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
92.204.55.166,4,29,burgermeister.com,FR,Europe,Western Europe,France,Grand Est,Bas-Rhin,Strasbourg
