reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
146.88.233.51,4,-21,13or-du-hiphop.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
85.236.157.205,4,-29,1789.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
91.134.128.132,4,4,1tpe.net,FR,Europe,Western Europe,France,Île-de-France,Seine-Saint-Denis,Saint-Denis
185.221.182.231,4,5,20minutes-blogs.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
149.100.138.94,4,0,3-6-9-12.org,FR,Europe,Western Europe,France,Île-de-France,Seine-Saint-Denis,La Courneuve
92.174.139.10,4,5,3237.fr,FR,Europe,Western Europe,France,Île-de-France,Val d'Oise,Deuil-la-Barre
147.135.160.250,4,4,3as-racing.com,FR,Europe,Western Europe,France,Île-de-France,Val d'Oise,Saint-Leu-la-Forêt
79.137.20.198,4,6,3egolf.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
137.74.182.129,4,6,3eo.ir,FR,Europe,Western Europe,France,Île-de-France,Seine-Saint-Denis,Rosny-sous-Bois
89.117.169.22,4,3,420herb.eu,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
85.236.155.225,4,-47,44tonnes.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.196.115.186,4,4,5-s.nl,FR,Europe,Western Europe,France,Île-de-France,Val d'Oise,Taverny
51.15.178.33,4,5,8sxguqa.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.188.139,4,10,a3nm.net,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
155.133.132.8,4,7,a4e.eu,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.56.133,4,6,aangevinkt.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.195.81,4,-19,abandonware-france.org,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
146.88.233.64,4,74,abbayeauxdames.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.52.169,4,4,abny.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
194.164.74.99,4,198,abofahed.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
147.135.191.42,4,19,absolut-photo.com,FR,Europe,Western Europe,France,Île-de-France,Val d'Oise,Saint-Leu-la-Forêt
193.54.149.86,4,12,ac-grenoble.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.196.115.220,4,33,acapela-group.com,FR,Europe,Western Europe,France,Île-de-France,Val d'Oise,Taverny
195.154.68.95,4,8,acheteralasource.com,FR,Europe,Western Europe,France,Île-de-France,Val-de-Marne,Ivry-sur-Seine
51.159.1.98,4,4,acmarket.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.80,4,40,acn.gov.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
154.49.245.162,4,2,acowebs.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
212.129.35.94,4,667322,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
212.129.38.226,4,667323,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
193.203.170.224,4,28,acusmatica.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.159.86.115,4,7,ad-nautic.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.244.172,4,33,addonchat.com,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
37.59.151.186,4,29,adicae.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
137.74.196.140,4,32,adidas-shoesoutlet.com,FR,Europe,Western Europe,France,Île-de-France,Hauts-de-Seine,Bagneux
79.137.9.251,4,38,adidas-superstar.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.217.83,4,19,adie.org,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
178.248.209.96,4,14,admd.net,FR,Europe,Western Europe,France,Île-de-France,Seine-et-Marne,Pontault-Combault
5.135.166.203,4,21,admi.net,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
141.95.255.173,4,2,admin-linux.fr,FR,Europe,Western Europe,France,Île-de-France,Seine-Saint-Denis,Aubervilliers
199.188.221.35,4,11,adminet.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.230,4,6,adndigital360.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
213.36.253.12,4,3,aduf.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.15.170.239,4,41,adveotec.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.59.113,4,12,advertentieindex.be,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
89.116.110.180,4,49,advfast.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.135.140.167,4,44,advitamdistribution.com,FR,Europe,Western Europe,France,Île-de-France,Essonne,Savigny-sur-Orge
37.59.20.184,4,3,ae2agence.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
154.49.142.205,4,19,aednet.org,FR,Europe,Western Europe,France,Île-de-France,Seine-Saint-Denis,La Courneuve
185.221.181.84,4,76,aeres-evaluation.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.222.205.214,4,4,aeroxspecials.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
