reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
5.182.146.110,4,-1,batiactu.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.5,4,139,corima.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
193.52.241.10,4,38,crous-versailles.fr,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
89.225.129.19,4,-5,eyrolles.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.23,4,33,lefestival.eu,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.92,4,75,maisonapart.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.114,4,20,mtk-tuning.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
45.145.167.207,4,1429,Ookla Speedtest Server 69097: speedtest.dat.alt-365.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
77.95.64.188,4,4,Ookla Speedtest Server: speedtest.rezopole.net,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.91,4,-13,opera-orchestre-montpellier.fr,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
5.182.146.96,4,8,xpair.com,FR,Europe,Western Europe,France,Rhône-Alpes,Rhône,Lyon
