reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
146.88.233.51,4,-21,13or-du-hiphop.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
85.236.157.205,4,-29,1789.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
185.221.182.231,4,5,20minutes-blogs.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.20.198,4,6,3egolf.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
89.117.169.22,4,3,420herb.eu,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
85.236.155.225,4,-47,44tonnes.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.15.178.33,4,5,8sxguqa.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
155.133.132.8,4,7,a4e.eu,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.56.133,4,6,aangevinkt.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.64,4,74,abbayeauxdames.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.52.169,4,4,abny.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
194.164.74.99,4,198,abofahed.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
193.54.149.86,4,12,ac-grenoble.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.159.1.98,4,4,acmarket.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.80,4,40,acn.gov.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
154.49.245.162,4,2,acowebs.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
212.129.35.94,4,667322,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
212.129.38.226,4,667323,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
193.203.170.224,4,28,acusmatica.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.159.86.115,4,7,ad-nautic.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
37.59.151.186,4,29,adicae.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
79.137.9.251,4,38,adidas-superstar.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
199.188.221.35,4,11,adminet.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.230,4,6,adndigital360.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
213.36.253.12,4,3,aduf.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.15.170.239,4,41,adveotec.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
89.116.110.180,4,49,advfast.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
37.59.20.184,4,3,ae2agence.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
185.221.181.84,4,76,aeres-evaluation.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.222.205.214,4,4,aeroxspecials.nl,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.232.29,4,2038,afcinema.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
154.56.59.51,4,29,afeban.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
37.59.222.65,4,24,afjv.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
185.166.39.119,4,4,africatimes.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
135.125.30.9,4,4,afrik21.africa,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.73,4,16,afsos.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
185.221.182.38,4,35,age-platform.eu,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
164.132.189.99,4,121,agenceecofin.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.66,4,4,agenziadogane.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.10,4,35,agenziaentrate.gov.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.129,4,8,agenziaentrateriscossione.gov.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
92.123.238.67,4,26,agenziaentrateriscossione.gov.it,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
164.132.164.220,4,8,agetoage4.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.192,4,670,agora21.org,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
57.128.105.150,4,1,agroparistech.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
34.155.60.68,4,6,aibd.sn,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
193.70.57.168,4,13,aididasyeezy.org.uk,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
5.226.2.241,4,1,aip-fonctionpublique.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
51.158.116.192,4,25,air-defense.net,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
85.236.153.17,4,12,airdutemps.be,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.10,4,16,airjordanpaschere.fr,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
96.17.206.32,4,8,airliquide.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
146.88.233.152,4,4,aixlesbains-rivieradesalpes.com,FR,Europe,Western Europe,France,Île-de-France,Paris,Paris
