reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
85.236.157.205,4,2240,1789.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.181.187,4,12,1sh.mk,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.96.212,4,-2,1wt.eu,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.129.11.170,4,-2,24eme.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.191.62,4,88,2target.net,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.174.139.10,4,-91433,3237.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.186.90,4,-24,42network.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.171.133.72,4,10,4399sy.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
85.236.155.225,4,1548,44tonnes.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.179.143,4,-32,4p1000.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.181.222,4,20,50a.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.9.60,4,-5,5asec.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.233.64,4,12,abbayeauxdames.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.112.182,4,-1,abracadaroom.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.108.145,4,12,acampa-vacances.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.80.40,4,-3,achatmoinscher.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.68.95,4,-4,acheteralasource.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.1.98,4,-1,acmarket.net,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.210.5.124,4,-1,acommeassure.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.129.38.226,4,-13,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.129.35.94,4,-4,acteongroup.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.128.133,4,-4,actionenfance.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.105.96,4,2,actufoot.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.86.115,4,5,ad-nautic.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.80.148,4,4,adacts.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
217.70.180.154,4,6,adcmemorial.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.20.203,4,16,adisseo.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
199.188.221.35,4,-5,adminet.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.233.230,4,-1,adndigital360.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.93.51,4,-12,adveotec.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.15.170.239,4,0,adveotec.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
89.116.110.180,4,-63,advfast.it,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.181.84,4,-48,aeres-evaluation.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.205.214,4,-1,aeroxspecials.nl,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.232.29,4,-38,afcinema.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.233.73,4,-1,afsos.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.57.115,4,0,agendaou.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.181.169,4,-2,agorafinance.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
35.181.177.182,4,-2,aimentiadiscover.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
13.37.61.211,4,1,aimentiadiscover.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.210.209.131,4,-1,ainsinet.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.158.116.192,4,0,air-defense.net,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
77.132.232.98,4,-37,airdisk.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
85.236.153.17,4,-1,airdutemps.be,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.233.10,4,0,airjordanpaschere.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.238.236,4,-3,airsport-shop.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.233.152,4,-1,aixlesbains-rivieradesalpes.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.15.141.230,4,-2,alamesacuba.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
15.236.242.130,4,13,albofornitori.it,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
35.181.103.42,4,1,albofornitori.it,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.45.21.74,4,-16,albofornitori.it,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.182.209,4,1,alchimistes.co,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.22.110.115,4,1973,alecso.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.68.81,4,7,alinea.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.68.55,4,1,alinea.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.130.232,4,2,alinea.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.84.68,4,29,alinea.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.176.135,4,-20,alliancefr.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
79.99.164.133,4,-17,allobebe.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.253.37,4,0,almostoda3.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.182.26,4,-5,alpestransfertsexpress.co.uk,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
34.163.250.189,4,0,alternativi.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.173.17,4,0,altersexualite.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.181.46,4,-9,ambroisie-risque.info,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.182.215,4,-3,american-cosmograph.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.15.183.35,4,20,anagora.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.210.243.12,4,-30,angenieux.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.111.192,4,-16,animath.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.28.9,4,-1,anime-chan.me,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.129.4.138,4,-10,anime-store.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.246.240,4,2,annuaire-horaire.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.129.14.2,4,-1,annuaire-inverse-france.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.234.81,4,11,anrt-nancy.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.22.110.54,4,-2,antec-inc.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.164.124,4,-3437,antoniosocci.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.186.217,4,-3420,antoniosocci.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.80.7,4,12,apepia.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
146.88.237.15,4,-1,aphconseil.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.22.43,4,-1,applanner.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.22.110.46,4,6,architecturebois.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.210.113.184,4,0,arcres.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.43.138,4,0,arcurs.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.22.110.211,4,4257,areion24.news,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.127.176,4,-3,arkitera.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.182.151,4,-2,armurerie-lavaux.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.186.54,4,-5,arthive.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
172.246.41.121,4,-5,arthritisireland.ie,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.129.41.34,4,7,artlantis.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
62.4.27.2,4,12,artparis.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
195.154.215.43,4,10,arvindlexicon.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
93.127.203.190,4,-40,aseachange.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.135.234,4,-6192,aspim.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
163.172.253.252,4,-4,asso-web.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.4.14,4,0,assoce.fr,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.158.22.84,4,3,asva.nl,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
185.221.182.40,4,3,atoll-electronique.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.129.211,4,0,atterres.org,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
217.70.186.104,4,-18,attivissimo.net,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
92.222.108.135,4,-19,auberges-de-jeunesse.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
212.83.183.15,4,-4,audiblog.nl,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
51.159.2.55,4,0,audiencevalue.com,FR,Europe,Western Europe,France,Île-de-France,Paris Department,Paris
