reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
89.250.69.6,4,-2,apunto.it,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
37.16.69.68,4,-5,bretten.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
46.232.229.100,4,6,cab.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.90.120.126,4,-45,ciney.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
141.98.155.63,4,-15,cpa.live,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.114.247,4,5,domovar-shop.ru,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
100.42.187.25,4,-5,flsten.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.92.9.93,4,1,halafeek.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
193.197.160.57,4,3,hfg-karlsruhe.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
195.7.6.84,4,-71,icar-us.eu,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
46.232.228.62,4,-2,innovaphone.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.122.229,4,10,itsf.mx,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.136.17.69,4,-43,jankratochvil.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.149.206.134,4,-63,kilimanjarotravel-tz.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.115.13.250,4,5,Ookla Speedtest Server 18613: speedtest.telemaxx.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
37.16.69.209,4,16,ortenaukreis.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.190.242.150,4,-1,panel21.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.90.123.246,4,-5,pestconsult.co.tz,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
193.197.160.61,4,17,petersloterdijk.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.159.229.109,4,19,polhas.ac.id,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.114.248,4,-49,porog-school.ru,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.113.72,4,3,qurann.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
37.16.66.45,4,8,raceresult.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
185.52.247.25,4,22,remote.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.149.207.219,4,-6,rethnea.gr,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
156.67.82.19,4,62,revolutionarygamesstudio.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.115.14.148,4,17,schultze-braun.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
217.11.169.3,4,0,sim-networks.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.159.221.240,4,24,sportsworldghana.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
162.244.30.47,4,-57,stallmansupport.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
89.250.72.237,4,27,stannesmadrid.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
185.203.216.167,4,-11,szakkatalogus.hu,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.10.161.225,4,8,theburgercity.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
152.53.125.158,4,11,tiekoetter.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.115.25.219,4,7,topwareshop.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
45.10.161.1,4,-28,torredosclerigos.pt,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.121.18,4,20,tournet.gr,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.115.25.220,4,19,twoworlds2.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
85.190.241.65,4,8,uoch.edu.pk,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
80.149.86.45,4,29,vincent-tac.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.114.249,4,27,xn----7sbzfcdscgh7b1c.xn--p1ai,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
198.7.117.121,4,-53,ynaija.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
185.133.249.240,4,2,youtoosocialnetwork.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Karlsruhe
