reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
212.83.50.108,4,24,adserver01.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.50.41,4,7,amd-netz.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.50.134,4,10,arbeiterkind.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.50.90,4,50,baukultur.nrw,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
94.186.151.147,4,17,dieweltistgarnichtso.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.57.190,4,3,eo-college.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
193.197.232.109,4,1,hft-stuttgart.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
94.186.153.201,4,7,hs-albsig.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
94.186.151.138,4,38,kunstform.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
129.69.55.20,4,15,molpro.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.50.104,4,2,oase-livingwater.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
212.83.50.209,4,3,succow-stiftung.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
94.186.151.142,4,18,tiggerswelt.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
