reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
109.68.51.34,4,36,acp.at,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.222,4,49,alpine-rescue.org,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.81.23,4,118,altoetting.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.209,4,47,audi-technology-portal.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.148,4,1,audimedia.tv,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.230,4,24,audimedia.tv,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.202,4,6,audimedia.tv,DE,Europe,Western Europe,Germany,Bavaria,,Munich
80.241.223.71,4,10,aware.ie,DE,Europe,Western Europe,Germany,Bavaria,,Munich
80.241.216.24,4,4,bitblokes.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
212.114.128.66,4,15,buch24.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.155.86.243,4,3,buch7.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
213.179.137.56,4,14,cadenas.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
79.143.189.67,4,4,codelite.org,DE,Europe,Western Europe,Germany,Bavaria,,Munich
193.34.145.204,4,11,coopprogreso.org,DE,Europe,Western Europe,Germany,Bavaria,,Munich
185.2.103.117,4,4,czaswojny.pl,DE,Europe,Western Europe,Germany,Bavaria,,Munich
195.226.185.65,4,4,daytona.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
141.84.213.225,4,55,digitaleweltmagazin.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
92.123.133.14,4,6,dinsko.se,DE,Europe,Western Europe,Germany,Bavaria,,Munich
92.123.133.51,4,58,dinsko.se,DE,Europe,Western Europe,Germany,Bavaria,,Munich
82.135.58.27,4,5,divi.de,DE,Europe,Western Europe,Germany,Bavaria,,Munich
194.39.205.240,4,4,DNS Server: dns2.cheazey.net,DE,Europe,Western Europe,Germany,Bavaria,,Munich
82.135.31.211,4,75,DNS Server: host-82-135-31-211.customer.m-online.net,DE,Europe,Western Europe,Germany,Bavaria,,Munich
79.143.185.86,4,391,DNS Server: locust.juri.hamburg,DE,Europe,Western Europe,Germany,Bavaria,,Munich
91.194.90.165,4,385,DNS Server: vmd69831.contaboserver.net,DE,Europe,Western Europe,Germany,Bavaria,,Munich
