reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
62.146.28.172,4,-3,bote.ch,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.90.178,4,-4,doerken.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.90.175,4,15,flux-pumps.com,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.90.197,4,-2,gdsys.com,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.90.68,4,-31,herrenknecht.com,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.7.238,4,16,icunet.ag,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.96.152,4,-15,idm.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.25.125,4,-12,mainchat.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.116.162,4,36,prestonchild.com,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.90.164,4,-7,rolf-benz.com,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.88.139,4,-10,stadtradio-goettingen.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.116.145,4,3,vaterland.li,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.96.101,4,0,womenshealth.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.96.103,4,9,womenshealth.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
62.146.96.102,4,18,womenshealth.de,DE,Europe,Western Europe,Germany,Bavaria,,Veitsbronn
