reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
82.98.126.6,4,39,bauhaus.fi,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.2,4,11,bauhaus.no,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.1,4,-8,bauhaus.se,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.14,4,38,deutsche-familienversicherung.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.3,4,32,duschmeister.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.127.19,4,27,energate-messenger.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.75.61,4,-1505,filmarchives-online.eu,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.69.101,4,-23,griesson-debeukelaer.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.127.7,4,17,plusline.net,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.127.16,4,26,swb-busundbahn.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.16,4,44,tui-blue.com,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.9,4,12,tui.at,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.10,4,34,tui.ch,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.8,4,-9,tui.com,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.126.15,4,3,vulkaneifel.de,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
82.98.127.15,4,20,vvk.link,DE,Europe,Western Europe,Germany,Hesse,,Leihgestern
