reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
195.30.228.106,4,0,amgen.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.244.213,4,-26,archaeologie.bayern,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.192.45,4,38,b2run.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.12.122,4,989,beautyjunkies.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.139.83,4,4,bhs-tabletop.com,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.21.65,4,-14,bvs.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.252.191,4,-1,designfunktion.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.21.94,4,3,euspaceimaging.com,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.174.27,4,-10,ilo.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.17.113,4,-2,inventronicsglobal.com,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.21.87,4,-6,kz-gedenkstaette-dachau.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.21.77,4,28,landkreis-muenchen.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.21.73,4,9,sommer.eu,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.130.2,4,12,space.net,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
195.30.240.101,4,5,trauspruch.de,DE,Europe,Western Europe,Germany,Lower Saxony,,Wilhelmshaven
