reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
212.83.50.108,4,24,adserver01.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
217.24.204.209,4,-1,aero-expo.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Friedrichshafen
5.9.232.167,4,9,aetevent.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Weil am Rhein
185.37.248.121,4,-26360057,aircraftspruce.eu,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Löffingen
212.97.96.152,4,-38,alber.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Tailfingen
212.83.50.41,4,7,amd-netz.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
185.250.251.230,4,30,andre-simon.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Oberkochen
212.83.50.134,4,10,arbeiterkind.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
5.9.225.185,4,30,audiko.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Weil am Rhein
141.52.13.58,4,31,auger.org,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Eggenstein-Leopoldshafen
185.38.52.28,4,138,babyclub.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Göppingen
212.83.50.90,4,50,baukultur.nrw,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
129.143.254.6,4,3,belwue.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Tübingen
212.86.205.238,4,9,bgv.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Mannheim
144.76.124.9,4,33,binderholz.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Jestetten
217.24.201.250,4,19,bodensee-airport.eu,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Friedrichshafen
212.62.196.84,4,3,bodenseekreis.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Wilhelmsdorf
212.62.201.187,4,-6,bodo.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Wilhelmsdorf
212.87.128.228,4,11,bredent-group.com,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Göppingen
212.62.200.219,4,-7,der-katamaran.de,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Wilhelmsdorf
94.186.151.147,4,17,dieweltistgarnichtso.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Stuttgart
217.20.113.211,4,110,directupload.net,DE,Europe,Western Europe,Germany,Baden-Wurttemberg,,Neuffen
