reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
82.100.208.199,4,95,auer-packaging.com,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Ludwigslust
82.100.208.202,4,58,auer.com,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Ludwigslust
82.193.226.198,4,151,DNS Server: 198.226.193.82.ediscom.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Neubrandenburg
82.193.226.217,4,168,DNS Server: 217.226.193.82.ediscom.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Neubrandenburg
82.193.226.241,4,249,DNS Server: 241.226.193.82.ediscom.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Neubrandenburg
82.193.226.249,4,201,DNS Server: 249.226.193.82.ediscom.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Neubrandenburg
82.193.226.253,4,197,DNS Server: 253.226.193.82.ediscom.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Neubrandenburg
212.204.53.167,4,15,havelland-tourismus.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Rostock
85.199.64.175,4,292,Ookla Speedtest Server 61837: speedtest.ediscom.net,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Bergen auf Rügen
84.38.65.53,4,16,plattform-lernende-systeme.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Pasewalk
80.148.52.75,4,5,playhohner.com,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Hanshagen
84.38.79.56,4,40,schattenbaum.net,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Pasewalk
84.38.79.31,4,18,schumann-portal.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Pasewalk
212.204.60.1,4,33,treffpunkteltern.de,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Rostock
212.204.60.229,4,6,ux-design-awards.com,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Rostock
212.204.53.166,4,14,vdz-zoos.org,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Rostock
195.98.202.175,4,5,wemag.com,DE,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,,Schwerin
