reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
213.211.199.38,4,27,aeksa.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
83.223.79.113,4,18,alles-fuer-selbermacher.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Dahlenwarsleben
83.223.79.33,4,40,assoziation-a.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Dahlenwarsleben
212.21.75.93,4,999,boerde.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Niederndodeleben
83.223.79.248,4,1,die-anstifter.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Dahlenwarsleben
141.44.22.114,4,5,farafin.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
213.211.198.158,4,-4369,fuechse.berlin,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
213.211.192.89,4,-70,handball-world.news,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
213.211.198.41,4,15,ikk-gesundplus.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
83.223.79.169,4,2,kirche.social,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Dahlenwarsleben
217.171.114.54,4,195,Ookla Speedtest Server 17982: osts-01.wittenberg-net.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Wittenberg
109.109.27.148,4,286,Ookla Speedtest Server 31449: speed.mancitynet.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Schkopau
213.211.193.38,4,-40389,Ookla Speedtest Server 36011: speedtest2.mdcc.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Magdeburg
195.37.90.10,4,2,sachsen.schule,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Friedensau
83.223.77.28,4,3,zombvival.de,DE,Europe,Western Europe,Germany,Saxony-Anhalt,,Dahlenwarsleben
