reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
94.130.244.218,4,45,canton.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.232.207,4,40,datenschutz-guru.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.146.206,4,33,diamir.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
217.151.147.70,4,16,dom-zu-speyer.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.210.64,4,33,global-monitoring.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.145.116,4,6,herthundbuss.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
217.151.149.234,4,1217,kh-it.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.152.38,4,7,kmk-pad.org,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.244.223,4,10,mapofcoins.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.152.49,4,5,meedia.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.232.194,4,14,moehl.ch,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
217.151.151.26,4,1012,pepperl-fuchs.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
185.10.195.198,4,1369,pleiteticker.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.152.35,4,16,sonor.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.232.209,4,65,starrag.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.152.53,4,8,steyr-mannlicher.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.244.212,4,6,tmdfriction.com,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.145.124,4,23,trachten-angermaier.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.145.127,4,5,ukr.media,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.249.72,4,21,vsble.me,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.249.74,4,50,vsble.me,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.244.220,4,5,zeller-gmelin.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
94.130.145.107,4,8,zfmk.de,DE,Europe,Western Europe,Germany,Rheinland-Pfalz,,Ludwigshafen am Rhein
