reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
107.189.29.30,4,27,animetosho.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.1.4,4,33,avxhm.se,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
104.244.79.91,4,33,balldroppings.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
194.42.99.203,4,2,cc.lu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
158.64.79.152,4,5085,cryptolux.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.31.10,4,18392,DNS Server: denshi.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
92.223.105.162,4,437,DNS Server: lux.1c1g,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.31.41,4,145,DNS Server: ns1.jon.bz,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.2.166,4,135954,feddit.rocks,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.13.104,4,40,gamesdrive.net,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.157,4,7,ipna.ir,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.144,4,2,iucea.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
194.42.99.43,4,5,klima-agence.lu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
158.64.70.135,4,-112150,liser.lu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.8.124,4,3,manhuagui.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.88.120,4,19,naijahotstreetjamz.com.ng,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.30,4,17,newsbenchmark.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
212.66.66.11,4,207,Ookla Speedtest Server 18136: speedtest.tango.lu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
80.92.72.3,4,319,Ookla Speedtest Server 43468: speedtest.datacenter.eu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
85.93.198.114,4,3,Ookla Speedtest Server: speedtest.vo.lu,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
45.131.244.8,4,4,pcloud.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
45.131.244.12,4,8,pcloud.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
45.131.244.9,4,6,pcloud.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
45.131.244.7,4,4,pcloud.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.34,4,16,pinupstudionc.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
172.255.248.150,4,22,rajithegame.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.200,4,41,scorenigeria.com.ng,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.73,4,5,sinister.ly,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
212.117.170.244,4,49,standout.co.uk,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.236,4,69,stemacumen.net,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
104.244.73.87,4,32,streamlord.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.164,4,2,sublimedir.net,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.88.162,4,18,thestretched.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.205,4,-4,ugandapioneers.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
107.189.29.171,4,11,ustvdb.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.201,4,-1110,vamosexpeditions.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.129,4,0,ventfasad.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
104.244.72.167,4,6,via3indian.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.7,4,4,vskamagrav.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.88.32,4,13,webdarsi.ir,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.84.141,4,3,whoismyag.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.89.168,4,0,willaphotography.com,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
198.251.88.188,4,-1115,worldgardening.org,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
104.244.79.230,4,8,zerochan.net,LU,Europe,Western Europe,Luxembourg,Luxembourg,,Luxembourg
