reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
34.90.147.203,4,22,ack.de,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.187.128,4,33,antmicro.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.2,4,-1,bandsmabultje.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.100.107,4,4,bijenkennisnet.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.209.248,4,4,blu-rayler.de,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.79.166,4,4,bse.eu,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.130,4,88,bustotaal.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.18.38,4,8,cloudfresh.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.73.88,4,26,clubislive.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.141.247.126,4,25,cruisereizen.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.203.165,4,34,digitaleast.mobi,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.1.179,4,21,DNS Server: 179.1.90.34.bc.googleusercontent.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
84.53.99.226,4,46784,DNS Server: 84-53-99-226.bbserv.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.197.230,4,60,domainorder.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.129.0,4,74,domainvendor.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
89.188.8.212,4,15,elfstedentocht.frl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.220.148,4,22,enable-javascript.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.141.214.221,4,45,filmvandaag.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.197.208,4,9,game-insight.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.204.253,4,4,guildhe.ac.uk,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
217.21.205.238,4,13,harmonie.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.91.63.205,4,4,hoofdtelefoon.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.108.186,4,4,huureenhuisje.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.192,4,-2,juttersflora.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
89.188.9.21,4,2,kiind.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.87.7,4,5,kleinanzeigen.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.83,4,7,knalverhuur.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.225,4,1,knrm.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.103.237,4,69,kredite.de,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.91.217.56,4,4,kxweb.no,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.214.161.10,4,4,lonelycatgames.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
213.132.223.116,4,27,lspvc.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.91.187.138,4,3,maltachamber.org.mt,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.90.123.107,4,2,nelson.nl,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.130.76,4,2,onlinecasino.amsterdam,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
217.21.207.11,4,412,Ookla Speedtest Server 38957: speedtest.zl.osso.network,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.151.74,4,4,openingstijden.com,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
35.204.252.203,4,10,oscebih.org,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
34.91.148.152,4,26,pagedout.institute,NL,Europe,Western Europe,Netherlands,Groningen,,Groningen
