reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.150.186.113,4,11,crealev.com,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
81.173.79.1,4,217172,DNS Server: a81-173-79-1.dsl.pocosnet.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
212.61.68.205,4,-69,ebericht.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
185.75.159.104,4,42,groasis.com,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
131.155.70.18,4,13,hyperelliptic.org,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
185.150.185.17,4,2,lecturis.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
185.150.187.61,4,8,novadic-kentron.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
95.98.248.150,4,494,Ookla Speedtest Server 40514: ookla.ictvanloon.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
31.201.255.74,4,251,Ookla Speedtest Server 45519: ookla2.ictvanloon.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
185.150.186.200,4,4,stichting-leerkracht.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
109.235.32.124,4,21,zakenreis.nl,NL,Europe,Western Europe,Netherlands,North Brabant,,Eindhoven
