reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
136.144.254.47,4,0,abrahamart.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.168.143,4,-1,acupoflife.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.243.115,4,-14,afvalcontainerbestellen.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.160.73,4,-2,alkmaarsdagblad.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.144.38,4,35,amref.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.251.254,4,0,asrbouw.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.178.116,4,14,atlantis-press.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.251.236,4,0,atuna.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.146.227,4,0,atw.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.131.4,4,-2,autovlasveld.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.178.26,4,4,banierhuis.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.166.22,4,111996,boerhaave.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.144.234,4,0,bouwnu.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.167.56,4,-6,bridge.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.152.77,4,-4,busreizen-maaskant.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.185.121,4,-1,cnvinternationaal.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.179.134,4,-20,conam.info,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.170.98,4,-11,conwayhall.org.uk,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.242.239,4,-1,coolmark.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.164.147,4,-7,corpusexperience.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.154.94,4,47,cosmedkliniek.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.253.244,4,-6,csrcentrum.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.154.21,4,0,dagattractieszeeland.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.174.247,4,-3,dekilometerverzekering.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.160.41,4,14,delisnacksonline.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.159.198,4,0,depaarsekeizerin.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.130.74,4,0,dezwerver.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.160.95,4,1,drijfhoutnl.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.191.62,4,-18,duurzaambouwloket.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.160.49,4,3,dvd.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.242.224,4,-1,ellisfaas.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.254.178,4,0,emble.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.240.222,4,37,eoq.org,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.170.225,4,-17,evean.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.142.239,4,-5,fital.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.250.192,4,35,gastronomias.com,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.188.43,4,-10305025,gay.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.163.41,4,-12,glaskunstcentrum.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.137.46,4,-4,goedetengezondleven.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.155.209,4,-6,golfstorefriesland.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.170.5,4,-1,goormetaal.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.179.4,4,-3,graffitinetwerk.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.250.14,4,0,graszoden.nl,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
136.144.178.37,4,-3,griekenland.net,NL,Europe,Western Europe,Netherlands,North Holland,,De Waal
