reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
51.158.157.124,4,13,adelios.fr,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.4.179,4,4,aful.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.145.9,4,9,animeka.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.144.86,4,-9,aroundthesims3.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.221.132,4,76006,asobrain.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.21.143,4,7,assignmentcamp.co.uk,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
91.234.199.193,4,3,assrt.net,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
31.24.227.26,4,0,beswd.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.28.36,4,-1,bigsasisa.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.2.56,4,1287381,boeketcadeau.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.27.121,4,-1,bois-colombes.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
185.45.112.138,4,-1,buzulukinform.ru,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.25.33,4,-4,c-lab.fr,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.156.129,4,0,cbdandsport.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.19.41,4,-2,chateaux-france.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.26.181,4,6,cinemakick.pk,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.16.171,4,28,cnr.fr,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.179.160,4,-34,cubeo.ai,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
31.24.227.158,4,-9,dafabet-partnership.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
31.24.227.131,4,-46,dafaesports.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
31.24.227.136,4,29,dafaleague.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
31.24.227.162,4,29,dafanews.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.61.144,4,66,daxaccess.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.95.38,4,-6,deconsystems.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.211.214,4,4,degreefcoatings.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.69.169,4,-4,dgl.cx,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
163.172.220.133,4,0,dissem.in,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.90.13,4,-5,DNS Server: 13-90-15-51.instances.scw.cloud,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.118.237,4,-4,DNS Server: 237-118-15-51.instances.scw.cloud,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.145.201,4,-3,DNS Server: 51-158-145-201.rev.poneytelecom.eu,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.146.93,4,-3,DNS Server: 51-158-146-93.rev.poneytelecom.eu,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.147.92,4,-1,DoH server: dns.novg.net,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.113.207,4,-4,DoH server: doh.kel.pe,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.122.250,4,-4,DoH server: scaleway-ams,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.16.197,4,-8,droit.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.8.193,4,2,edimka.ru,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.16.193,4,1,emmenetonchien.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.179.237,4,-47,eom.gr,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.124.208,4,-1,expertremonta.kz,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.210.194,4,2364,expopromoter.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.38.152,4,0,foksuk.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.202.30,4,29,fornaxian.tech,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.216.235,4,24,forsvaret.dk,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.17.156,4,0,gameru.net,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.57.194,4,2,geo-fs.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.239.88,4,-25,glampings.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.21.97,4,0,goffi.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
91.202.5.46,4,0,goldchannel.net,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
149.5.4.213,4,43,gsa-online.de,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.8.218,4,27,haproxy.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
195.160.223.164,4,-2,hiddenwiki.co,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.131.132,4,-4,horecavlaanderen.be,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.65.183,4,-1,icdst.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.249.53,4,6,jansmit.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.70.93,4,-14,jeffdebruges.ma,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.38.215,4,-17,jeleefstijlalsmedicijn.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.147.24,4,-1,jiloca.es,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
5.79.86.182,4,-1,jphip.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
163.172.221.203,4,30,jsp.org.pk,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.20.7,4,-1,lammertbies.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.227.154,4,14,lecreuset.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.73.179,4,11,legal-tools.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.236.152,4,3,loudspeakerdatabase.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.249.196,4,0,make-upstudio.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.142.79,4,53,mcvoordieren.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.78.73,4,399,mec.biz,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.129.110,4,-17,mediaget.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.227.48,4,-4,mediaget.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.20.99,4,65,meteofrontera.es,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.231.158,4,-10,mobilityservice.nl,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
5.79.71.106,4,0,mobistealth.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.19.174,4,-7,montenegroairlines.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
85.17.179.25,4,-10,museoceramadrid.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.158.150.220,4,0,nedprod.com,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.44.225,4,-8,nimd.org,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
51.15.16.166,4,8,nuoviso.tv,NL,Europe,Western Europe,Netherlands,North Holland,,Haarlem
