reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.233.175.181,4,22,1001activiteiten.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
86.86.99.78,4,523,allesduurzaam.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Elst
62.165.78.20,4,68,bezorgland.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Aalten
87.251.32.101,4,6,bigbrotherawards.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
87.251.32.99,4,11,bof.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
185.233.172.57,4,43,bruidshoek.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
31.200.209.186,4,21,cardexchange.com,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
109.72.93.223,4,6,clubofamsterdam.com,NL,Europe,Western Europe,Netherlands,Gelderland,,Eefde
5.255.77.20,4,-2,dewanonton.online,NL,Europe,Western Europe,Netherlands,Gelderland,,Apeldoorn
31.200.209.174,4,5,dewebmakers.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
5.255.77.186,4,-51284,DNS Server: 5-255-77-186.ip.vdwict.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Apeldoorn
94.168.100.234,4,50278,DNS Server: 94-168-100-234.static.v4.ziggozakelijk.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Wijchen
82.139.78.205,4,102,DNS Server: customer-082-139-078-205.solcon.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Opheusden
109.72.87.226,4,61,doortje-vintage.com,NL,Europe,Western Europe,Netherlands,Gelderland,,Eefde
87.251.38.61,4,52,groove.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
185.10.159.127,4,11,huurflits.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Eibergen
212.83.255.255,4,20,interconnect.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
109.72.90.8,4,-26074,jansentotaalwonen.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Eefde
109.72.85.5,4,13,judemusic.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Eefde
84.241.175.86,4,121,leerentveldvrijetijd.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Winterswijk
185.233.172.86,4,14,lumeco.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
191.96.96.48,4,5,mijnhomepage.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
191.96.96.50,4,13,moerstaal.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
185.233.175.142,4,7,mvo.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
31.200.209.172,4,3,ncv-cosmetica.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
185.233.175.190,4,3,newsbit.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
31.200.209.171,4,4,nvve.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
31.200.209.167,4,3,nvz.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
82.94.180.235,4,15,opticon.com,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
109.201.133.196,4,-5,pup.edu.ph,NL,Europe,Western Europe,Netherlands,Gelderland,,Rozendaal
213.154.242.236,4,8,rotra.eu,NL,Europe,Western Europe,Netherlands,Gelderland,,Gameren
109.72.89.129,4,16,shipagents.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Eefde
193.109.122.5,4,6,sixxs.net,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
212.45.32.40,4,4,solcon.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Vaassen
191.96.96.80,4,23,stophier.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
31.200.209.169,4,53,textielhuis.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Nijmegen
185.233.175.140,4,49,theorie-leren.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
191.96.96.155,4,2,tuinmeubelsale.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
62.165.66.11,4,42,twickel.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Aalten
185.233.172.56,4,20,vandenhul.com,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
185.233.172.33,4,3,vanderlindenonderhoud.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
185.233.172.70,4,5,vermeerdelft.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
84.241.175.23,4,1,vimodos.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Winterswijk
213.154.224.197,4,-13336,visiontoys.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Gameren
191.96.96.105,4,0,vrijspreker.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Ede
83.142.31.219,4,3,zolybeauty.nl,NL,Europe,Western Europe,Netherlands,Gelderland,,Doetinchem
