reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
95.211.173.247,4,2,baladna.com,NL,Europe,Western Europe,Netherlands,Limburg,,Nunhem
80.76.51.118,4,4,bumrise.com,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
5.253.246.81,4,6,buysynthroid.life,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
86.107.187.63,4,4,DNS Server: 566bbb3f.static.cust.trined.nl,NL,Europe,Western Europe,Netherlands,Limburg,,Venray
86.107.187.184,4,5,DNS Server: 566bbbb8.static.cust.trined.nl,NL,Europe,Western Europe,Netherlands,Limburg,,Venray
80.115.126.165,4,1,DNS Server: 80-115-126-165.cable.dynamic.v4.ziggo.nl,NL,Europe,Western Europe,Netherlands,Limburg,,Eijsden
45.13.227.232,4,6,DNS Server: epommhost.at,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
45.131.108.160,4,-16338,DNS Server: mgmt.tube-hosting.com,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
95.211.160.38,4,3,enovis-medtech.eu,NL,Europe,Western Europe,Netherlands,Limburg,,Nunhem
95.211.175.142,4,-224940,iugaza.edu.ps,NL,Europe,Western Europe,Netherlands,Limburg,,Nunhem
95.211.160.166,4,1182,maverickclub.net,NL,Europe,Western Europe,Netherlands,Limburg,,Nunhem
45.137.203.172,4,240,Ookla Speedtest Server 13791: speed.dedi.zone,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
178.21.216.17,4,275,Ookla Speedtest Server 49759: speedtest.as38915.net,NL,Europe,Western Europe,Netherlands,Limburg,,Heerlen
92.118.207.27,4,384,Ookla Speedtest Server 65159: speedtest.jonas.nrw,NL,Europe,Western Europe,Netherlands,Limburg,,Eygelshoven
95.211.160.106,4,3,triflex.com,NL,Europe,Western Europe,Netherlands,Limburg,,Nunhem
185.52.14.59,4,5,vtmode.nl,NL,Europe,Western Europe,Netherlands,Limburg,,Heerlen
89.20.83.118,4,25,vvv-venlo.nl,NL,Europe,Western Europe,Netherlands,Limburg,,Tegelen
