reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.157.210.10,4,980,almazois.gr,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
83.87.202.7,4,839245,DNS Server: 83-87-202-7.cable.dynamic.v4.ziggo.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
81.4.104.170,4,12,DNS Server: epsys35a.epsys.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
185.157.209.26,4,3,e-perimetron.org,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
185.157.209.18,4,475,megaron.gr,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
176.56.235.2,4,9,mtbroutes.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
81.4.122.152,4,47,rsgbcc.org,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
176.56.235.3,4,9,sjorssportief.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
176.56.235.6,4,3,tuinengras.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
185.157.209.83,4,8,unibrain.com,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
185.157.210.11,4,1581,womenontop.gr,NL,Europe,Western Europe,Netherlands,South Holland,,Alblasserdam
