reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
149.210.154.86,4,-20,adobike.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.172.91,4,-2,advocaten.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.242.240,4,4,amerikaplus.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.144.223,4,-2,amorgos.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.250.157,4,3,anthura.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.174.110,4,18,autosnijders.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.247.51,4,-16,autovendi.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.192.123,4,16,avecoverzekeringen.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.144.80,4,1,banktrack.org,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.134.222,4,-58,biljartpoint.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.197.52,4,36,boekbeschrijvingen.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.183.43,4,-4,bookmatch.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.229.177,4,-5,bsubooster.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.243.151,4,36,campingdiever.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.197.242,4,3,cdromland.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.244.119,4,21,chalet.nu,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.201.231,4,99,contimeta.com,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.213.202,4,1,debabykraam.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.128.242,4,3,degroenemenukaart.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.148.2,4,68,dimenco.eu,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.197.33,4,-9,djoser.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.224.84,4,39,doopsgezindhaarlem.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.138.249,4,-7,drjurekconings.com,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.173.123,4,-8,eftepedia.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.184.238,4,33,elephantos.com,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.242.236,4,6,estivant.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.215.88,4,-3,fcrn.org.uk,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
149.210.249.168,4,6,flitskoning.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Hendrik-Ido-Ambacht
