reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
89.146.35.15,4,88,DNS Server: rt35bb146-89-15.routit.net,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
89.146.42.63,4,-2142935944,DNS Server: rt42bb146-89-63.routit.net,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.170.31,4,86,DNS Server: server1315.seedhost.eu,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.166.88,4,62,earth-history.com,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
77.73.224.157,4,-14,freelance.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.175.214,4,123,institutfrancais.rs,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.161.39,4,7,irobot.pl,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.170.78,4,33,photofunia.com,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
95.168.175.211,4,-14,safestroke.eu,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
195.143.61.138,4,8,werkenbijutrecht.nl,NL,Europe,Western Europe,Netherlands,South Holland,,Schiedam
