reflector_ip,ip_version,description,country_code,country_name,region,sub_region
82.220.37.2,4,123ben.ch,CH,Switzerland,Europe,Western Europe
83.166.138.29,4,123savoie.com,CH,Switzerland,Europe,Western Europe
82.220.34.229,4,123transfer.ch,CH,Switzerland,Europe,Western Europe
194.124.232.65,4,12app.ch,CH,Switzerland,Europe,Western Europe
144.24.244.140,4,14.by,CH,Switzerland,Europe,Western Europe
195.15.240.34,4,321cbd.com,CH,Switzerland,Europe,Western Europe
83.166.138.22,4,360.ch,CH,Switzerland,Europe,Western Europe
46.22.26.60,4,3fach.ch,CH,Switzerland,Europe,Western Europe
128.65.195.5,4,4vallees.ch,CH,Switzerland,Europe,Western Europe
81.17.19.15,4,94hiphop.com,CH,Switzerland,Europe,Western Europe
46.231.207.104,4,a-d-s.ch,CH,Switzerland,Europe,Western Europe
94.126.18.100,4,aargauerkunsthaus.ch,CH,Switzerland,Europe,Western Europe
212.147.60.15,4,about.ch,CH,Switzerland,Europe,Western Europe
185.46.59.133,4,abs.ch,CH,Switzerland,Europe,Western Europe
217.150.244.134,4,absoluteblack.cc,CH,Switzerland,Europe,Western Europe
83.166.138.7,4,acase.ch,CH,Switzerland,Europe,Western Europe
83.166.138.120,4,acidmoto.ch,CH,Switzerland,Europe,Western Europe
195.15.223.248,4,acova.fr,CH,Switzerland,Europe,Western Europe
50.28.36.103,4,acparadise.com,CH,Switzerland,Europe,Western Europe
80.74.147.33,4,acronet.net,CH,Switzerland,Europe,Western Europe
192.162.28.144,4,acs.ch,CH,Switzerland,Europe,Western Europe
128.65.195.222,4,actionfrancaise.net,CH,Switzerland,Europe,Western Europe
83.166.138.112,4,actioninnocence.org,CH,Switzerland,Europe,Western Europe
80.74.158.25,4,adp-gmbh.ch,CH,Switzerland,Europe,Western Europe
149.126.4.75,4,aeroinside.com,CH,Switzerland,Europe,Western Europe
62.12.149.232,4,aess-bar.ch,CH,Switzerland,Europe,Western Europe
45.86.36.62,4,africanplantdatabase.ch,CH,Switzerland,Europe,Western Europe
45.86.36.82,4,africanplantdatabase.ch,CH,Switzerland,Europe,Western Europe
213.55.215.92,4,afromix.org,CH,Switzerland,Europe,Western Europe
149.126.4.90,4,agrarforschungschweiz.ch,CH,Switzerland,Europe,Western Europe
185.17.69.110,4,agriviva.ch,CH,Switzerland,Europe,Western Europe
94.231.94.144,4,ahakki.xyz,CH,Switzerland,Europe,Western Europe
195.15.215.12,4,ahrp.org,CH,Switzerland,Europe,Western Europe
62.12.149.109,4,aila.info,CH,Switzerland,Europe,Western Europe
83.166.138.113,4,ailleurs.ch,CH,Switzerland,Europe,Western Europe
213.144.142.21,4,alchemistowl.org,CH,Switzerland,Europe,Western Europe
194.150.248.215,4,aldeilis.net,CH,Switzerland,Europe,Western Europe
194.150.248.8,4,aleviforum.com,CH,Switzerland,Europe,Western Europe
80.74.138.2,4,alfredo-haeberli.com,CH,Switzerland,Europe,Western Europe
185.46.59.223,4,alice.ch,CH,Switzerland,Europe,Western Europe
5.1.100.166,4,aligro.ch,CH,Switzerland,Europe,Western Europe
80.74.151.68,4,aligso.com,CH,Switzerland,Europe,Western Europe
128.65.195.176,4,alldigitalweek.eu,CH,Switzerland,Europe,Western Europe
80.74.142.130,4,allerheiligen.ch,CH,Switzerland,Europe,Western Europe
82.220.37.30,4,almodovar.at,CH,Switzerland,Europe,Western Europe
80.74.152.50,4,alpen-paesse.ch,CH,Switzerland,Europe,Western Europe
46.232.181.68,4,alpenparlament.tv,CH,Switzerland,Europe,Western Europe
83.166.138.104,4,alphil.com,CH,Switzerland,Europe,Western Europe
82.199.139.234,4,alpsonline.org,CH,Switzerland,Europe,Western Europe
84.16.76.254,4,alsace.wiki,CH,Switzerland,Europe,Western Europe
194.56.190.69,4,altes-maedchen.com,CH,Switzerland,Europe,Western Europe
94.126.22.215,4,andyschwab.com,CH,Switzerland,Europe,Western Europe
178.33.136.127,4,annecy-outdoor.com,CH,Switzerland,Europe,Western Europe
94.131.99.64,4,anobanko.com,CH,Switzerland,Europe,Western Europe
149.126.4.39,4,anonymekoeche.net,CH,Switzerland,Europe,Western Europe
83.166.138.119,4,antenna.ch,CH,Switzerland,Europe,Western Europe
128.65.195.92,4,antipodes.ch,CH,Switzerland,Europe,Western Europe
83.166.138.107,4,apejd.ch,CH,Switzerland,Europe,Western Europe
83.166.138.34,4,aplusclick.org,CH,Switzerland,Europe,Western Europe
46.231.200.190,4,appenzellerbahnen.ch,CH,Switzerland,Europe,Western Europe
80.74.149.6,4,apresleclipse.net,CH,Switzerland,Europe,Western Europe
185.142.212.198,4,aquarium.ch,CH,Switzerland,Europe,Western Europe
185.17.69.120,4,ar.ch,CH,Switzerland,Europe,Western Europe
46.232.181.211,4,arena.ch,CH,Switzerland,Europe,Western Europe
82.199.141.186,4,armee.ch,CH,Switzerland,Europe,Western Europe
5.182.248.186,4,arretsurinfo.ch,CH,Switzerland,Europe,Western Europe
93.88.241.159,4,arrigonline.ch,CH,Switzerland,Europe,Western Europe
80.74.147.137,4,art-zurich.com,CH,Switzerland,Europe,Western Europe
128.65.195.187,4,artbongar.com,CH,Switzerland,Europe,Western Europe
194.150.248.126,4,artfilm.ch,CH,Switzerland,Europe,Western Europe
84.16.76.197,4,artnouveau-net.eu,CH,Switzerland,Europe,Western Europe
91.192.102.107,4,arttower.ru,CH,Switzerland,Europe,Western Europe
83.166.133.71,4,asklocala.com,CH,Switzerland,Europe,Western Europe
128.65.195.35,4,asloca.ch,CH,Switzerland,Europe,Western Europe
149.126.4.40,4,asmobil.ch,CH,Switzerland,Europe,Western Europe
80.74.157.210,4,aso.ch,CH,Switzerland,Europe,Western Europe
80.74.146.178,4,asoif.com,CH,Switzerland,Europe,Western Europe
84.16.76.222,4,associations-citoyennes.net,CH,Switzerland,Europe,Western Europe
82.199.141.149,4,astag.ch,CH,Switzerland,Europe,Western Europe
83.166.133.30,4,astra-hotel.ch,CH,Switzerland,Europe,Western Europe
185.101.156.145,4,astrometrica.at,CH,Switzerland,Europe,Western Europe
178.33.136.96,4,atelierticho.fr,CH,Switzerland,Europe,Western Europe
185.85.248.50,4,atlas.ch,CH,Switzerland,Europe,Western Europe
149.126.4.38,4,audiatur-online.ch,CH,Switzerland,Europe,Western Europe
128.65.195.178,4,auditsocial.world,CH,Switzerland,Europe,Western Europe
94.126.19.238,4,autismus.ch,CH,Switzerland,Europe,Western Europe
194.124.233.30,4,autoneum.com,CH,Switzerland,Europe,Western Europe
80.74.145.80,4,avenirsocial.ch,CH,Switzerland,Europe,Western Europe
83.166.138.57,4,avex-asso.org,CH,Switzerland,Europe,Western Europe
128.65.195.189,4,aweibel.com,CH,Switzerland,Europe,Western Europe
