reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
185.195.199.59,4,-5,bertschi.com,CH,Europe,Western Europe,Switzerland,Bern,,Bern
38.180.84.13,4,-4,casinoz.club,CH,Europe,Western Europe,Switzerland,Bern,,Bern
85.195.233.252,4,-3,DNS Server: 85-195-233-252.fiber7.init7.net,CH,Europe,Western Europe,Switzerland,Bern,,Bern
185.195.196.114,4,7,egovernment.ch,CH,Europe,Western Europe,Switzerland,Bern,,Bern
45.59.113.226,4,-5,essentialplugin.com,CH,Europe,Western Europe,Switzerland,Bern,,Bern
185.195.196.116,4,18,galerieursmeile.com,CH,Europe,Western Europe,Switzerland,Bern,,Bern
38.180.15.207,4,-5,horeca-nao.ru,CH,Europe,Western Europe,Switzerland,Bern,,Bern
85.195.234.234,4,155727,Ookla Speedtest Server 42840: speedtest.joelmueller.ch,CH,Europe,Western Europe,Switzerland,Bern,,Bern
38.180.15.212,4,10,rd4krsk.ru,CH,Europe,Western Europe,Switzerland,Bern,,Bern
45.59.124.37,4,11,roulette.chat,CH,Europe,Western Europe,Switzerland,Bern,,Bern
212.101.4.163,4,0,solnet.ch,CH,Europe,Western Europe,Switzerland,Bern,,Bern
38.180.85.172,4,9,sykaaa-casinos.fun,CH,Europe,Western Europe,Switzerland,Bern,,Bern
