reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
195.15.240.34,4,4,321cbd.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
5.1.100.166,4,82,aligro.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.207,4,10,bge-geneve.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.254.137,4,31,brasseriebfm.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
185.172.103.5,4,4,canalalpha.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.223,4,34,cjbg.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
89.32.250.173,4,-4833,damapouya.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
194.38.168.210,4,1,darksite.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.236.73,4,4,designseptember.be,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
213.200.233.89,4,8,DNS Server: 89.233.200.213.static.wline.lns.sme.cust.swisscom.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
79.141.83.250,4,598,DNS Server: ns3.ntd.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.237.113,4,3,earthobservations.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.235.23,4,4,energy.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.238.224,4,4,fh-hwz.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.131,4,50,geneva.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.201,4,9,geneve.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.237.228,4,37,gphg.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.226.30,4,43,infoflora.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
185.134.197.103,4,81,johncooperclarke.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.235.174,4,3,laventure-association.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.245.142,4,49,libssh.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
141.101.62.199,4,130,luff.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
89.32.250.170,4,6,mabarenoor.ir,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.205,4,8,mahmah.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.221,4,9,meg.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.219,4,10,musee-ariana.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
46.253.177.30,4,119,Ookla Speedtest Server 15728: speedtest.monzoon.net,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.236.153,4,30,openagenda.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
185.134.197.72,4,10,opiniojuris.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
89.32.250.167,4,-5715,resalat-news.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.235.39,4,3,silversquare.eu,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
46.127.137.226,4,-6944,titaniumtrack.com,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
185.134.197.69,4,6,togethertrust.org.uk,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.255.252,4,11,ubuntu-it.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
195.15.237.41,4,14,usgang.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.113,4,8,ville-ge.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
193.134.183.161,4,9,ville-geneve.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
185.134.197.195,4,18,waddensea-worldheritage.org,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
79.141.82.20,4,4056,wargame.ch,CH,Europe,Western Europe,Switzerland,Geneva,,Geneva
