reflector_ip,ip_version,offset,description,country_code,region,sub_region,country_name,sub_division_1,sub_division_2,city
179.43.141.28,4,93,akrus.ru,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.166.35,4,7,fantasy-worlds.org,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.150.83,4,39,flibusta.is,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.157.53,4,204997,flylib.com,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.144.41,4,7,go-url.ru,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.177.238,4,8,hot-pharm.com,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.172.163,4,4,kiwifarms.st,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.154.69,4,29,lenovo-profi.ru,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.151.123,4,41,libgen.lc,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.157.101,4,2482,new-rutor.org,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.141.93,4,6,nnm-club.ws,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.147.116,4,-1918,rgfootball.net,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.144.107,4,4,wedjat.ru,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
179.43.156.87,4,9,ylsoftware.com,CH,Europe,Western Europe,Switzerland,Zurich,,Rümlang
